,step,d_w,d_w_rel_to_init,d_w_rel_to_norm,L_train,del_L_train,acc_train,del_acc_train,L_train_compare,acc_train_compare,L_test,del_L_test,acc_test,del_acc_test,L_test_compare,acc_test_compare,epoch,batch_idx
0,0,0.014499734155833721,-0.023437604308128357,-0.023437604308128357,2.460642099380493,1.1205673217773438e-05,0.09771666675806046,0.00011666864156723022,1.6387972831726074,0.9984166622161865,2.4656760692596436,1.9073486328125e-05,0.08829999715089798,-0.00010000169277191162,1.6345419883728027,0.998199999332428,0,0
1,100,0.015602021478116512,0.050801850855350494,0.05068683624267578,1.533951997756958,-5.030632019042969e-05,0.6463833451271057,-5.0008296966552734e-05,1.365907073020935,0.9984333515167236,1.519973874092102,-4.589557647705078e-05,0.6549000144004822,0.000299990177154541,1.351828694343567,0.9979000091552734,0,100
2,200,0.015822555869817734,0.06565491855144501,0.0651421844959259,1.0720603466033936,1.800060272216797e-05,0.7747833132743835,0.0,0.93398517370224,0.9993833303451538,1.0501307249069214,4.887580871582031e-06,0.7832000255584717,0.00020003318786621094,0.9156592488288879,0.9994999766349792,0,200
3,300,0.016054518520832062,0.08127769082784653,0.08019699901342392,0.8401824831962585,1.9371509552001953e-05,0.8187333345413208,6.669759750366211e-05,0.7015325427055359,0.9997666478157043,0.8172029256820679,1.0669231414794922e-05,0.8235999941825867,0.00010001659393310547,0.6826196312904358,0.9998000264167786,0,300
4,400,0.016352009028196335,0.10131378471851349,0.09949363023042679,0.7142131328582764,1.3887882232666016e-05,0.8391333222389221,-3.331899642944336e-05,0.5739880800247192,0.9997833371162415,0.691017210483551,1.6093254089355469e-06,0.843999981880188,9.995698928833008e-05,0.5567322969436646,0.9998999834060669,0,400
5,500,0.016644643619656563,0.12102283537387848,0.11834729462862015,0.6333028078079224,6.318092346191406e-06,0.848883330821991,1.6689300537109375e-05,0.4866323471069336,0.9998499751091003,0.6107279062271118,3.6954879760742188e-06,0.8561999797821045,0.00019997358322143555,0.47053369879722595,0.9995999932289124,0,500
6,600,0.01684544049203396,0.13454657793045044,0.13109427690505981,0.5792897939682007,1.0728836059570312e-06,0.8576499819755554,-8.33272933959961e-05,0.43156886100769043,0.9997833371162415,0.5573982000350952,-6.020069122314453e-06,0.8633999824523926,0.0,0.41701528429985046,1.0,0,600
7,700,0.017089717090129852,0.15099869668483734,0.14664556086063385,0.5393697619438171,-5.0067901611328125e-06,0.8648666739463806,0.00010001659393310547,0.3904983699321747,0.9998000264167786,0.5178602337837219,-8.702278137207031e-06,0.8730000257492065,0.0,0.37597882747650146,1.0,0,700
8,800,0.01723775640130043,0.16096919775009155,0.1558636873960495,0.5078579783439636,-1.3709068298339844e-06,0.8707166910171509,8.338689804077148e-05,0.35873648524284363,0.9998000264167786,0.4874996542930603,-1.0222196578979492e-05,0.8784000277519226,0.0,0.3453959822654724,1.0,0,800
9,900,0.01727522350847721,0.1634926199913025,0.1578872948884964,0.4831804037094116,9.238719940185547e-07,0.8745666742324829,3.331899642944336e-05,0.33221733570098877,0.9998666644096375,0.4627746045589447,-6.4373016357421875e-06,0.8823000192642212,0.0,0.319400429725647,1.0,0,900
10,1000,0.017406245693564415,0.1723170131444931,0.1660126894712448,0.4649578332901001,-5.066394805908203e-07,0.8775166869163513,3.337860107421875e-05,0.31308460235595703,0.9998833537101746,0.44465503096580505,-1.3113021850585938e-06,0.8855999708175659,0.0,0.3011212944984436,0.9998999834060669,1,62
11,1100,0.01753818616271019,0.18120324611663818,0.1741791069507599,0.4492591619491577,3.3080577850341797e-06,0.8809499740600586,0.0,0.29511865973472595,0.999833345413208,0.42860347032546997,2.8312206268310547e-06,0.8885999917984009,0.0,0.28289172053337097,0.9998000264167786,1,162
12,1200,0.017666343599557877,0.18983469903469086,0.18208837509155273,0.4350805878639221,3.3974647521972656e-06,0.8840000033378601,0.0,0.2816966772079468,0.9999666810035706,0.4152897000312805,-5.602836608886719e-06,0.8916000127792358,0.0,0.26976874470710754,1.0,1,262
13,1300,0.017841512337327003,0.20163238048553467,0.1930316537618637,0.4226211607456207,2.8312206268310547e-06,0.8867833614349365,3.337860107421875e-05,0.2695382833480835,0.9998499751091003,0.4032540023326874,-7.152557373046875e-06,0.8944000005722046,0.00019997358322143555,0.2582780420780182,0.9998000264167786,1,362
14,1400,0.018037062138319016,0.21480272710323334,0.2052837610244751,0.4130845367908478,5.036592483520508e-06,0.8885166645050049,-0.00010001659393310547,0.26008880138397217,0.999833345413208,0.3942628800868988,-2.682209014892578e-07,0.8970000147819519,-9.995698928833008e-05,0.2491205632686615,0.9998999834060669,1,462
15,1500,0.018094966188073158,0.21870258450508118,0.20863813161849976,0.4037492573261261,7.033348083496094e-06,0.8899000287055969,1.6689300537109375e-05,0.25015968084335327,0.9999499917030334,0.38572707772254944,3.844499588012695e-06,0.897599995136261,-0.00010001659393310547,0.23946979641914368,0.9998999834060669,1,562
16,1600,0.018216252326965332,0.22687125205993652,0.21607843041419983,0.3938685655593872,5.751848220825195e-06,0.8922333121299744,-3.337860107421875e-05,0.24106885492801666,0.9998499751091003,0.37530240416526794,-2.9802322387695312e-06,0.8999999761581421,9.995698928833008e-05,0.23064492642879486,0.9997000098228455,1,662
17,1700,0.018516097217798233,0.24706591665744781,0.23494039475917816,0.3881024420261383,6.943941116333008e-06,0.893666684627533,-3.331899642944336e-05,0.23459239304065704,0.9998499751091003,0.3709585666656494,-1.1324882507324219e-06,0.9014000296592712,0.0,0.2250622808933258,1.0,1,762
18,1800,0.018530700355768204,0.24804943799972534,0.23552212119102478,0.38119128346443176,5.8710575103759766e-06,0.8959833383560181,1.6689300537109375e-05,0.2276875376701355,0.9998999834060669,0.3636292815208435,3.4868717193603516e-06,0.9021999835968018,9.995698928833008e-05,0.21763518452644348,0.9997000098228455,1,862
19,1900,0.018746914342045784,0.2626115381717682,0.24898214638233185,0.3739929795265198,7.18235969543457e-06,0.8967833518981934,-5.0008296966552734e-05,0.22023414075374603,0.9997833371162415,0.35740941762924194,6.198883056640625e-06,0.9039999842643738,0.0,0.21075813472270966,0.9997000098228455,2,24
20,2000,0.018974438309669495,0.27793535590171814,0.26314809918403625,0.36831527948379517,2.562999725341797e-06,0.8979833126068115,1.6629695892333984e-05,0.2149370163679123,0.999833345413208,0.35199761390686035,5.811452865600586e-06,0.9067999720573425,-0.00010001659393310547,0.20586860179901123,0.9998000264167786,2,124
21,2100,0.01911860890686512,0.2876453101634979,0.2719841003417969,0.3631707429885864,5.543231964111328e-06,0.8998333215713501,0.0,0.21041786670684814,0.9998666644096375,0.3474176824092865,6.943941116333008e-06,0.9070000052452087,-0.00010001659393310547,0.2011020928621292,0.9998999834060669,2,224
22,2200,0.01954565942287445,0.31640729308128357,0.29882270097732544,0.35903123021125793,7.718801498413086e-06,0.9000999927520752,-6.669759750366211e-05,0.2076852023601532,0.9998000264167786,0.34258654713630676,7.361173629760742e-06,0.9093000292778015,0.0,0.19828128814697266,1.0,2,324
23,2300,0.019866928458213806,0.3380448818206787,0.31889966130256653,0.35403040051460266,1.7881393432617188e-06,0.9010666608810425,0.0,0.2026204913854599,0.9998499751091003,0.3388393819332123,1.6987323760986328e-06,0.9097999930381775,0.00010001659393310547,0.193022683262825,0.9998999834060669,2,424
24,2400,0.02020011842250824,0.36048537492752075,0.33967453241348267,0.3508490324020386,-4.172325134277344e-07,0.9022666811943054,6.669759750366211e-05,0.19946153461933136,0.9997833371162415,0.3360224664211273,1.8775463104248047e-06,0.9090999960899353,0.0,0.19015002250671387,1.0,2,524
25,2500,0.020336413756012917,0.36966490745544434,0.3479457199573517,0.34566572308540344,7.271766662597656e-06,0.9034500122070312,3.331899642944336e-05,0.19539445638656616,0.9997333288192749,0.3305942714214325,7.271766662597656e-06,0.9103999733924866,-0.00010001659393310547,0.1863565444946289,0.9998999834060669,2,624
26,2600,0.020165888592600822,0.3581799566745758,0.3368062376976013,0.3429488241672516,7.867813110351562e-06,0.9041500091552734,-1.6629695892333984e-05,0.1932799369096756,0.9998999834060669,0.3274504542350769,1.3709068298339844e-06,0.9120000004768372,-0.000299990177154541,0.18427537381649017,0.9995999932289124,2,724
27,2700,0.020189600065350533,0.35977694392204285,0.3378813564777374,0.33904343843460083,1.5974044799804688e-05,0.9064000248908997,-3.331899642944336e-05,0.1900266855955124,0.9998499751091003,0.3244210183620453,1.0192394256591797e-05,0.9132999777793884,0.0,0.18088267743587494,1.0,2,824
28,2800,0.020250659435987473,0.36388930678367615,0.3413788974285126,0.33467504382133484,1.233816146850586e-05,0.9059500098228455,-3.331899642944336e-05,0.18516115844249725,0.9998499751091003,0.31974270939826965,2.473592758178711e-06,0.9125999808311462,9.995698928833008e-05,0.17633408308029175,0.9998999834060669,2,924
29,2900,0.020271677523851395,0.3653048872947693,0.3423457741737366,0.33131587505340576,1.0669231414794922e-05,0.9071333408355713,0.0,0.18294428288936615,0.999916672706604,0.3170037567615509,9.655952453613281e-06,0.9139000177383423,0.0,0.17403146624565125,0.9998000264167786,3,86
30,3000,0.020379021763801575,0.3725345730781555,0.34875914454460144,0.32953351736068726,1.7017126083374023e-05,0.9078166484832764,1.6629695892333984e-05,0.18163475394248962,0.9998166561126709,0.3150148093700409,1.0818243026733398e-05,0.9147999882698059,0.0,0.1724199652671814,1.0,3,186
31,3100,0.020502958446741104,0.38088175654411316,0.3562088906764984,0.32500332593917847,1.5228986740112305e-05,0.9094499945640564,-3.331899642944336e-05,0.1771841198205948,0.9998000264167786,0.3119211792945862,1.1861324310302734e-05,0.9164000153541565,0.0,0.16847050189971924,1.0,3,286
32,3200,0.020672721788287163,0.3923153579235077,0.36655768752098083,0.3223719000816345,1.9997358322143555e-05,0.9106333255767822,0.0,0.1753612458705902,0.9998999834060669,0.3089814782142639,1.6361474990844727e-05,0.916100025177002,0.0,0.16640783846378326,1.0,3,386
33,3300,0.020697513595223427,0.3939850926399231,0.3678102493286133,0.32043132185935974,2.41696834564209e-05,0.9107666611671448,-1.6689300537109375e-05,0.17258049547672272,0.9999333620071411,0.3073996901512146,2.4318695068359375e-05,0.9169999957084656,0.00010001659393310547,0.16358156502246857,0.9998999834060669,3,486
34,3400,0.020854705944657326,0.404572069644928,0.37736913561820984,0.3178277015686035,1.7583370208740234e-05,0.9117000102996826,-3.331899642944336e-05,0.1716638207435608,0.9999333620071411,0.304779976606369,2.053380012512207e-05,0.9175999760627747,9.995698928833008e-05,0.1631680279970169,0.9998000264167786,3,586
35,3500,0.021020730957388878,0.41575390100479126,0.3874504268169403,0.31493517756462097,1.990795135498047e-05,0.9124666452407837,0.0,0.17044280469417572,0.9999666810035706,0.30225348472595215,1.71661376953125e-05,0.9186999797821045,-0.00020003318786621094,0.16165298223495483,0.9998000264167786,3,686
36,3600,0.021171214058995247,0.4258890151977539,0.3965415954589844,0.31315574049949646,2.7894973754882812e-05,0.9124666452407837,0.0,0.169043630361557,0.9999499917030334,0.29989081621170044,1.9729137420654297e-05,0.9165999889373779,0.0,0.16035187244415283,0.9998999834060669,3,786
37,3700,0.02127498760819435,0.43287819623947144,0.40275847911834717,0.3104521930217743,3.349781036376953e-05,0.9119333624839783,-8.33272933959961e-05,0.16683150827884674,0.9998166561126709,0.29841700196266174,2.54213809967041e-05,0.9175000190734863,-9.995698928833008e-05,0.15818554162979126,0.9998999834060669,3,886
38,3800,0.021456502377986908,0.4451032876968384,0.41379013657569885,0.3074750602245331,3.1441450119018555e-05,0.9133333563804626,-3.331899642944336e-05,0.16508811712265015,0.999916672706604,0.29547590017318726,2.6494264602661133e-05,0.9187999963760376,0.0,0.1570276916027069,0.9997000098228455,4,48
39,3900,0.021599235013127327,0.45471638441085815,0.4223226308822632,0.3048582673072815,3.018975257873535e-05,0.914650022983551,0.0,0.16260993480682373,0.9998499751091003,0.29383575916290283,2.7507543563842773e-05,0.9199000000953674,-0.00010001659393310547,0.15434129536151886,0.9998999834060669,4,148
40,4000,0.021793676540255547,0.46781209111213684,0.4341690242290497,0.3036907911300659,3.9190053939819336e-05,0.9147499799728394,-0.00010001659393310547,0.16152958571910858,0.999833345413208,0.2909882962703705,3.4302473068237305e-05,0.920199990272522,0.0,0.15371288359165192,0.9998000264167786,4,248
41,4100,0.02210300788283348,0.48864567279815674,0.4531744718551636,0.3009573221206665,4.45246696472168e-05,0.9154166579246521,-8.33272933959961e-05,0.16012990474700928,0.9998666644096375,0.2888479232788086,4.3839216232299805e-05,0.9196000099182129,-0.00010001659393310547,0.15205244719982147,0.9998000264167786,4,348
42,4200,0.022201968356966972,0.4953106939792633,0.45896950364112854,0.2995741069316864,2.682209014892578e-05,0.9153333306312561,0.0,0.15693330764770508,0.9998999834060669,0.28778907656669617,1.2964010238647461e-05,0.9208999872207642,-0.00010001659393310547,0.14895200729370117,0.9998999834060669,4,448
43,4300,0.02221292071044445,0.49604833126068115,0.4592861831188202,0.2974991202354431,3.7163496017456055e-05,0.9164833426475525,6.669759750366211e-05,0.15635985136032104,0.9998166561126709,0.28615936636924744,3.4809112548828125e-05,0.919700026512146,0.00010001659393310547,0.14818106591701508,0.9998999834060669,4,548
44,4400,0.02232104167342186,0.5033302903175354,0.46569621562957764,0.2951134741306305,4.056096076965332e-05,0.9173833131790161,-6.669759750366211e-05,0.15647152066230774,0.9998499751091003,0.28498268127441406,5.015730857849121e-05,0.9214000105857849,-0.00010001659393310547,0.14820712804794312,0.9998999834060669,4,648
45,4500,0.02258690819144249,0.5212365388870239,0.48189616203308105,0.29358989000320435,3.725290298461914e-05,0.9179166555404663,-3.331899642944336e-05,0.15351741015911102,0.9998833537101746,0.2837347984313965,3.8117170333862305e-05,0.9212999939918518,0.0,0.14582741260528564,1.0,4,748
46,4600,0.022756196558475494,0.5326381325721741,0.49208545684814453,0.29257097840309143,3.266334533691406e-05,0.9175166487693787,1.6629695892333984e-05,0.15266816318035126,0.9998666644096375,0.28331440687179565,3.501772880554199e-05,0.920199990272522,0.0,0.144330695271492,1.0,4,848
47,4700,0.02286715805530548,0.5401114821434021,0.49861541390419006,0.289107084274292,3.549456596374512e-05,0.9191499948501587,1.6689300537109375e-05,0.15200215578079224,0.9998833537101746,0.27926069498062134,3.8564205169677734e-05,0.9226999878883362,-0.00010001659393310547,0.14429593086242676,0.9998999834060669,5,10
