,step,d_w,d_w_rel_to_init,d_w_rel_to_norm,L_train,del_L_train,acc_train,del_acc_train,L_train_compare,acc_train_compare,L_test,del_L_test,acc_test,del_acc_test,L_test_compare,acc_test_compare,epoch,batch_idx
0,0,1.4847724437713623,-3.2115156045620097e-07,-3.2115156045620097e-07,2.454216957092285,-0.006413936614990234,0.09746666997671127,-0.0001333281397819519,1.6440805196762085,0.9473000168800354,2.4590020179748535,-0.006654977798461914,0.08820000290870667,-0.00019999593496322632,1.6396490335464478,0.9455999732017517,0,0
1,100,1.4851648807525635,0.0002639865851961076,0.00026338896714150906,1.5323060750961304,-0.0016962289810180664,0.6468333601951599,0.0004000067710876465,1.3648000955581665,0.9880333542823792,1.5183624029159546,-0.0016573667526245117,0.6542999744415283,-0.0003000497817993164,1.3505737781524658,0.9866999983787537,0,100
2,200,1.4869499206542969,0.0014662174507975578,0.0014547668397426605,1.0712103843688965,-0.0008319616317749023,0.7744500041007996,-0.0003333091735839844,0.9332533478736877,0.9906499981880188,1.0494468212127686,-0.00067901611328125,0.7824000120162964,-0.000599980354309082,0.9151681661605835,0.9908000230789185,0,200
3,300,1.4900989532470703,0.0035871025174856186,0.0035394071601331234,0.8401577472686768,-5.364418029785156e-06,0.8183666467666626,-0.000299990177154541,0.7015674114227295,0.9919999837875366,0.8174266815185547,0.00023442506790161133,0.8241999745368958,0.0006999969482421875,0.6827852725982666,0.9919999837875366,0,300
4,400,1.4944707155227661,0.00653150025755167,0.00641415873542428,0.714458703994751,0.0002594590187072754,0.838533341884613,-0.0006332993507385254,0.5745693445205688,0.9933833479881287,0.6914701461791992,0.0004545450210571289,0.8443999886512756,0.0004999637603759766,0.5573326945304871,0.9926000237464905,0,400
5,500,1.4986470937728882,0.009344306774437428,0.009137725457549095,0.6336192488670349,0.00032275915145874023,0.8487833142280579,-8.33272933959961e-05,0.48727554082870483,0.9941999912261963,0.61128169298172,0.0005574822425842285,0.8560000061988831,0.0,0.4711954593658447,0.9947999715805054,0,500
6,600,1.5031089782714844,0.012349401600658894,0.012032532133162022,0.5796686410903931,0.00037992000579833984,0.8580999970436096,0.0003666877746582031,0.4324025809764862,0.9950000047683716,0.5580177307128906,0.0006135106086730957,0.863099992275238,-0.000299990177154541,0.4178582429885864,0.9951000213623047,0,600
7,700,1.507322907447815,0.015187499113380909,0.014749658294022083,0.5397496223449707,0.00037485361099243164,0.864633321762085,-0.00013333559036254883,0.3911958932876587,0.9957000017166138,0.5184743404388428,0.0006054043769836426,0.8723999857902527,-0.0006000399589538574,0.37666645646095276,0.9966999888420105,0,700
8,800,1.5116446018218994,0.018098175525665283,0.017524151131510735,0.5081362724304199,0.00027692317962646484,0.8704833388328552,-0.0001499652862548828,0.35931408405303955,0.9960500001907349,0.4880189597606659,0.0005090832710266113,0.8779000043869019,-0.000500023365020752,0.34601011872291565,0.996999979019165,0,800
9,900,1.5152391195297241,0.02051909640431404,0.019815603271126747,0.48347294330596924,0.00029346346855163574,0.8744666576385498,-6.669759750366211e-05,0.33282122015953064,0.9959499835968018,0.46332818269729614,0.0005471408367156982,0.8823000192642212,0.0,0.32000184059143066,0.9961000084877014,0,900
