,step,d_w,d_w_rel_to_init,d_w_rel_to_norm,L_train,del_L_train,acc_train,del_acc_train,L_train_compare,acc_train_compare,L_test,del_L_test,acc_test,del_acc_test,L_test_compare,acc_test_compare,epoch,batch_idx
0,0,0.014499732293188572,-0.023437729105353355,-0.023437729105353355,2.4607009887695312,7.009506225585938e-05,0.09743333607912064,-0.0001666620373725891,1.6389015913009644,0.9979166388511658,2.465717315673828,6.031990051269531e-05,0.08829999715089798,-0.00010000169277191162,1.6346256732940674,0.9988999962806702,0,0
1,100,0.01520166452974081,0.023837663233280182,0.023783696815371513,1.5339406728744507,-6.16312026977539e-05,0.6464333534240723,0.0,1.365842342376709,0.9987333416938782,1.51995050907135,-6.92605972290039e-05,0.6546000242233276,0.0,1.3517590761184692,0.9988999962806702,0,100
2,200,0.015610394068062305,0.051365748047828674,0.0509646013379097,1.0719327926635742,-0.00010955333709716797,0.7749500274658203,0.00016671419143676758,0.93390291929245,0.9991166591644287,1.0499972105026245,-0.00012862682342529297,0.7831000089645386,0.00010001659393310547,0.9155747294425964,0.998199999332428,0,200
3,300,0.015846649184823036,0.06727761775255203,0.06638307124376297,0.840054988861084,-0.0001081228256225586,0.8187666535377502,0.00010001659393310547,0.7013868093490601,0.999666690826416,0.8170760869979858,-0.00011616945266723633,0.8237000107765198,0.00020003318786621094,0.6824671626091003,0.9994999766349792,0,300
4,400,0.01613103225827217,0.08643092215061188,0.08487814664840698,0.7141292095184326,-7.003545761108398e-05,0.8391166925430298,-4.9948692321777344e-05,0.5738904476165771,0.999750018119812,0.6909425258636475,-7.30752944946289e-05,0.843999981880188,9.995698928833008e-05,0.5566307902336121,0.9995999932289124,0,400
5,500,0.016362067312002182,0.1019912138581276,0.09973642230033875,0.6332364082336426,-6.008148193359375e-05,0.8489333391189575,6.669759750366211e-05,0.4865807294845581,0.9997333288192749,0.6106728315353394,-5.137920379638672e-05,0.8562999963760376,0.000299990177154541,0.4704817235469818,0.9997000098228455,0,500
6,600,0.016576722264289856,0.1164483055472374,0.11346039175987244,0.5792402625083923,-4.845857620239258e-05,0.857699990272522,-3.331899642944336e-05,0.4315287470817566,0.9997833371162415,0.5573620200157166,-4.220008850097656e-05,0.8633000254631042,-9.995698928833008e-05,0.4169723093509674,0.9997000098228455,0,600
7,700,0.016809573397040367,0.13213090598583221,0.12832172214984894,0.5393414497375488,-3.331899642944336e-05,0.8648333549499512,6.669759750366211e-05,0.39048558473587036,0.9997333288192749,0.5178390741348267,-2.9861927032470703e-05,0.8730000257492065,0.0,0.3759627044200897,1.0,0,700
8,800,0.01691744662821293,0.13939622044563293,0.13497494161128998,0.5078333616256714,-2.5987625122070312e-05,0.8706499934196472,1.6689300537109375e-05,0.358720064163208,0.9998166561126709,0.4874858260154724,-2.4050474166870117e-05,0.8784000277519226,0.0,0.34538599848747253,1.0,0,800
9,900,0.01698351465165615,0.14384591579437256,0.13891418278217316,0.4831567406654358,-2.2739171981811523e-05,0.8746333122253418,9.995698928833008e-05,0.3322027027606964,0.9998000264167786,0.4627610445022583,-1.9997358322143555e-05,0.8823000192642212,0.0,0.319389283657074,1.0,0,900
10,1000,0.01711023598909378,0.15238064527511597,0.14680571854114532,0.46493861079216003,-1.9729137420654297e-05,0.8774999976158142,1.6689300537109375e-05,0.31307509541511536,0.9998499751091003,0.4446401298046112,-1.621246337890625e-05,0.885699987411499,0.00010001659393310547,0.30111315846443176,0.9998999834060669,1,62
11,1100,0.01720578968524933,0.15881621837615967,0.15265987813472748,0.4492481052875519,-7.748603820800781e-06,0.8809499740600586,0.0,0.2951200604438782,0.9998499751091003,0.4285953640937805,-5.27501106262207e-06,0.888700008392334,0.00010001659393310547,0.2828945219516754,0.9998999834060669,1,162
12,1200,0.017337972298264503,0.167718768119812,0.16087490320205688,0.43506911396980286,-8.07642936706543e-06,0.8840333223342896,3.331899642944336e-05,0.2817039489746094,0.9999499917030334,0.4152849018573761,-1.0401010513305664e-05,0.891700029373169,0.00010001659393310547,0.2697768211364746,0.9998999834060669,1,262
13,1300,0.017442578449845314,0.17476403713226318,0.16730938851833344,0.42261263728141785,-5.692243576049805e-06,0.8867666721343994,1.6689300537109375e-05,0.2695420980453491,0.999833345413208,0.40325304865837097,-8.106231689453125e-06,0.89410001039505,-0.00010001659393310547,0.2582843005657196,0.9998999834060669,1,362
14,1400,0.017570283263921738,0.18336500227451324,0.1752392053604126,0.4130764603614807,-3.039836883544922e-06,0.8885666728019714,-5.0008296966552734e-05,0.26009443402290344,0.9998666644096375,0.3942616879940033,-1.4603137969970703e-06,0.8970000147819519,-9.995698928833008e-05,0.24913109838962555,0.9998000264167786,1,462
