,step,d_w,d_w_rel_to_init,d_w_rel_to_norm,L_train,del_L_train,acc_train,del_acc_train,L_train_compare,acc_train_compare,L_test,del_L_test,acc_test,del_acc_test,L_test_compare,acc_test_compare,epoch,batch_idx
0,0,0.14848960936069489,8.299761248053983e-05,8.299761248053983e-05,2.4607198238372803,8.893013000488281e-05,0.09764999896287918,5.000084638595581e-05,1.6388534307479858,0.9839500188827515,2.465834379196167,0.0001773834228515625,0.08780000358819962,-0.0005999952554702759,1.634621262550354,0.9819999933242798,0,0
1,100,0.1497463881969452,0.008547449484467506,0.008528098464012146,1.5328543186187744,-0.0011479854583740234,0.6466000080108643,0.0001666545867919922,1.365220308303833,0.9940666556358337,1.5189648866653442,-0.0010548830032348633,0.6552000045776367,0.000599980354309082,1.3512310981750488,0.993399977684021,0,100
2,200,0.1509675532579422,0.016772041097283363,0.016641058027744293,1.0717573165893555,-0.00028502941131591797,0.7748000025749207,1.6689300537109375e-05,0.9338074326515198,0.997083306312561,1.0498535633087158,-0.0002722740173339844,0.78329998254776,0.000299990177154541,0.9154918789863586,0.9965999722480774,0,200
3,300,0.1521303504705429,0.024603523313999176,0.024276386946439743,0.840023398399353,-0.00013971328735351562,0.8185666799545288,-9.995698928833008e-05,0.7015060186386108,0.998033344745636,0.8170629739761353,-0.00012928247451782227,0.8235999941825867,0.00010001659393310547,0.6826124787330627,0.998199999332428,0,300
4,400,0.1531842201948166,0.03170137479901314,0.031131844967603683,0.7140442728996277,-0.00015497207641601562,0.8392000198364258,3.337860107421875e-05,0.5738383531570435,0.9983833432197571,0.6908053755760193,-0.00021022558212280273,0.8442000150680542,0.000299990177154541,0.5566015243530273,0.9987000226974487,0,400
5,500,0.15405699610710144,0.037579551339149475,0.03674875572323799,0.6332172155380249,-7.927417755126953e-05,0.8489000201225281,3.337860107421875e-05,0.48655959963798523,0.9986000061035156,0.6106022596359253,-0.00012195110321044922,0.8561999797821045,0.00019997358322143555,0.4704868197441101,0.9986000061035156,0,500
6,600,0.1547863781452179,0.04249196872115135,0.04140167683362961,0.5792921185493469,3.3974647521972656e-06,0.857783317565918,5.0008296966552734e-05,0.43158501386642456,0.9988166689872742,0.5573623776435852,-4.184246063232422e-05,0.8636999726295471,0.000299990177154541,0.4170619249343872,0.9988999962806702,0,600
7,700,0.1555245816707611,0.0474637970328331,0.04609546437859535,0.5393971800804138,2.2411346435546875e-05,0.8649333119392395,0.0001666545867919922,0.3905341327190399,0.9991499781608582,0.5178543329238892,-1.4603137969970703e-05,0.8729000091552734,-0.00010001659393310547,0.3760378062725067,0.9995999932289124,0,700
8,800,0.1561966985464096,0.05199052765965462,0.05034153163433075,0.5078962445259094,3.68952751159668e-05,0.8705666661262512,-6.663799285888672e-05,0.35874253511428833,0.9991333484649658,0.4875127375125885,2.86102294921875e-06,0.8783000111579895,-0.00010001659393310547,0.3454147279262543,0.9997000098228455,0,800
9,900,0.15677498281002045,0.05588529258966446,0.05396927520632744,0.4832304120063782,5.093216896057129e-05,0.8745666742324829,3.331899642944336e-05,0.3322514295578003,0.9991666674613953,0.46279048919677734,9.447336196899414e-06,0.882099986076355,-0.00020003318786621094,0.31943774223327637,0.9994999766349792,0,900
10,1000,0.15739116072654724,0.06003527343273163,0.05783885344862938,0.465030699968338,7.236003875732422e-05,0.8776166439056396,0.00013333559036254883,0.3131222724914551,0.9991166591644287,0.44470834732055664,5.200505256652832e-05,0.885699987411499,0.00010001659393310547,0.30118387937545776,0.9993000030517578,1,62
11,1100,0.15790587663650513,0.06350190192461014,0.061040326952934265,0.44930991530418396,5.40614128112793e-05,0.8808666467666626,-8.33272933959961e-05,0.2951677143573761,0.9991666674613953,0.42864835262298584,4.7713518142700195e-05,0.8889999985694885,0.0004000067710876465,0.2829500436782837,0.9991999864578247,1,162
