,step,d_w,d_w_rel_to_init,d_w_rel_to_norm,L_train,del_L_train,acc_train,del_acc_train,L_train_compare,acc_train_compare,L_test,del_L_test,acc_test,del_acc_test,L_test_compare,acc_test_compare,epoch,batch_idx
0,0,0.1484895944595337,8.28972551971674e-05,8.28972551971674e-05,2.4614098072052,0.0007789134979248047,0.09756666421890259,-3.333389759063721e-05,1.639228105545044,0.9894499778747559,2.466463565826416,0.0008065700531005859,0.08799999952316284,-0.00039999932050704956,1.6349761486053467,0.9894000291824341,0,0
1,100,0.14935459196567535,0.005908687599003315,0.0058953105472028255,1.5354450941085815,0.0014427900314331055,0.6460166573524475,-0.00041669607162475586,1.367465615272522,0.9938833117485046,1.5214430093765259,0.0014232397079467773,0.6539000272750854,-0.0006999969482421875,1.353344440460205,0.992900013923645,0,100
2,200,0.15067845582962036,0.014824959449470043,0.014709181152284145,1.072843074798584,0.0008007287979125977,0.7748833298683167,0.00010001659393310547,0.9348227381706238,0.9969000220298767,1.050938367843628,0.000812530517578125,0.7827000021934509,-0.000299990177154541,0.9165992140769958,0.9959999918937683,0,200
3,300,0.15223224461078644,0.025289783254265785,0.02495352178812027,0.8406848907470703,0.0005217790603637695,0.8187833428382874,0.00011670589447021484,0.7021575570106506,0.9978166818618774,0.8177145719528198,0.000522315502166748,0.8238999843597412,0.0004000067710876465,0.6833497881889343,0.9980999827384949,0,300
4,400,0.15368126332759857,0.03504898026585579,0.034419309347867966,0.7147553563117981,0.0005561113357543945,0.838949978351593,-0.00021666288375854492,0.5746109485626221,0.9983333349227905,0.6916081309318542,0.0005925297737121582,0.8442000150680542,0.000299990177154541,0.5573850870132446,0.9983999729156494,0,400
5,500,0.15530510246753693,0.045985594391822815,0.04496896266937256,0.6338059306144714,0.0005094408988952637,0.8487833142280579,-8.33272933959961e-05,0.4872364401817322,0.998199999332428,0.6113010048866272,0.0005767941474914551,0.8561999797821045,0.00019997358322143555,0.47116029262542725,0.9987000226974487,0,500
6,600,0.15575796365737915,0.049035631120204926,0.0477774403989315,0.5795860290527344,0.00029730796813964844,0.857616662979126,-0.00011664628982543945,0.4319046437740326,0.9987333416938782,0.5577611327171326,0.00035691261291503906,0.8636000156402588,0.00020003318786621094,0.4173496663570404,0.9986000061035156,0,600
7,700,0.15646523237228394,0.053799111396074295,0.052248138934373856,0.5395417213439941,0.00016695261001586914,0.864799976348877,3.331899642944336e-05,0.39069536328315735,0.9990500211715698,0.5180901885032654,0.00022125244140625,0.8729000091552734,-0.00010001659393310547,0.3761692941188812,0.9991999864578247,0,700
8,800,0.1571505218744278,0.05841456353664398,0.05656181648373604,0.5080007910728455,0.00014144182205200195,0.8706666827201843,3.337860107421875e-05,0.35890814661979675,0.9991000294685364,0.4876953959465027,0.00018551945686340332,0.8784999847412109,9.995698928833008e-05,0.3455658257007599,0.9988999962806702,0,800
9,900,0.15759477019309998,0.061406590044498444,0.05930127575993538,0.4832633137702942,8.383393287658691e-05,0.8745333552360535,0.0,0.3323001563549042,0.9991499781608582,0.4629027247428894,0.00012168288230895996,0.8816999793052673,-0.0006000399589538574,0.31948205828666687,0.9991000294685364,0,900
10,1000,0.15805307030677795,0.06449326127767563,0.06213374063372612,0.46502354741096497,6.520748138427734e-05,0.8774999976158142,1.6689300537109375e-05,0.31314533948898315,0.9990833401679993,0.44476431608200073,0.00010797381401062012,0.885200023651123,-0.0003999471664428711,0.30118054151535034,0.9993000030517578,1,62
11,1100,0.15852825343608856,0.06769363582134247,0.06506957113742828,0.44930654764175415,5.0693750381469727e-05,0.8809666633605957,1.6689300537109375e-05,0.29515770077705383,0.9992499947547913,0.42868945002555847,8.881092071533203e-05,0.8888000249862671,0.00020003318786621094,0.28293588757514954,0.9987999796867371,1,162
12,1200,0.1590300351381302,0.07107315212488174,0.06817296892404556,0.43511122465133667,3.403425216674805e-05,0.884066641330719,6.663799285888672e-05,0.2817336618900299,0.9993166923522949,0.4153667986392975,7.149577140808105e-05,0.8914999961853027,-0.00010001659393310547,0.26978829503059387,0.9994999766349792,1,262
13,1300,0.1594718098640442,0.07404852658510208,0.07088994979858398,0.4226348102092743,1.6480684280395508e-05,0.8867499828338623,0.0,0.2695564329624176,0.9992666840553284,0.4032995104789734,3.835558891296387e-05,0.89410001039505,-0.00010001659393310547,0.2583005726337433,0.9994000196456909,1,362
14,1400,0.15992747247219086,0.0771174281835556,0.07369997352361679,0.4130991995334625,1.96993350982666e-05,0.8886666893959045,5.0008296966552734e-05,0.2600976228713989,0.9992666840553284,0.3943026661872864,3.9517879486083984e-05,0.8967000246047974,-0.0003999471664428711,0.24912860989570618,0.9988999962806702,1,462
15,1500,0.160405233502388,0.08033516258001328,0.07663822919130325,0.4037480354309082,5.811452865600586e-06,0.8899000287055969,1.6689300537109375e-05,0.2501576542854309,0.9993500113487244,0.3857319951057434,8.761882781982422e-06,0.8970000147819519,-0.0006999969482421875,0.2394758015871048,0.9987000226974487,1,562
16,1600,0.16088446974754333,0.08356283605098724,0.07958754897117615,0.3938636779785156,8.642673492431641e-07,0.8922333121299744,-3.337860107421875e-05,0.24107253551483154,0.9991666674613953,0.3753086030483246,3.2186508178710938e-06,0.8999999761581421,9.995698928833008e-05,0.23064523935317993,0.9991999864578247,1,662
17,1700,0.161324605345726,0.08652716875076294,0.08228058367967606,0.38807761669158936,-1.7881393432617188e-05,0.8937000036239624,0.0,0.2345665693283081,0.9993500113487244,0.3709343373775482,-2.536177635192871e-05,0.9014999866485596,9.995698928833008e-05,0.2250627875328064,0.9991000294685364,1,762
18,1800,0.16170565783977509,0.08909357339143753,0.08459404855966568,0.38116639852523804,-1.901388168334961e-05,0.8959166407585144,-5.0008296966552734e-05,0.2276928573846817,0.9994333386421204,0.3636036217212677,-2.2172927856445312e-05,0.902400016784668,0.000299990177154541,0.21763671934604645,0.9993000030517578,1,862
19,1900,0.16220130026340485,0.09243173897266388,0.0876346006989479,0.3739704191684723,-1.537799835205078e-05,0.8968833088874817,4.9948692321777344e-05,0.22022217512130737,0.9994500279426575,0.35739120841026306,-1.2010335922241211e-05,0.9041000008583069,0.00010001659393310547,0.21073439717292786,0.9994999766349792,2,24
20,2000,0.1625862568616867,0.09502443671226501,0.08996877819299698,0.368287056684494,-2.5659799575805664e-05,0.8979833126068115,1.6629695892333984e-05,0.2149101346731186,0.9994166493415833,0.35198497772216797,-6.8247318267822266e-06,0.9071999788284302,0.000299990177154541,0.20584504306316376,0.9994000196456909,2,124
21,2100,0.1630108654499054,0.09788419306278229,0.09255477041006088,0.36313843727111816,-2.676248550415039e-05,0.8999000191688538,6.669759750366211e-05,0.2103992998600006,0.9995499849319458,0.34739524126052856,-1.5497207641601562e-05,0.9067000150680542,-0.0004000067710876465,0.20108771324157715,0.9988999962806702,2,224
22,2200,0.16343075037002563,0.1007121354341507,0.09511497616767883,0.3589935004711151,-3.001093864440918e-05,0.9002666473388672,9.995698928833008e-05,0.2076832354068756,0.9994666576385498,0.3425513803958893,-2.7805566787719727e-05,0.9093000292778015,0.0,0.1982780247926712,0.9993000030517578,2,324
23,2300,0.16385327279567719,0.10355783998966217,0.0976928249001503,0.3539852797985077,-4.3332576751708984e-05,0.9010833501815796,1.6689300537109375e-05,0.20258967578411102,0.9993000030517578,0.3388034999370575,-3.4183263778686523e-05,0.909600019454956,-9.995698928833008e-05,0.19299209117889404,0.9997000098228455,2,424
24,2400,0.1642836332321167,0.10645633190870285,0.10031060129404068,0.35078778862953186,-6.16610050201416e-05,0.9023833274841309,0.00018334388732910156,0.19946512579917908,0.9993333220481873,0.33597248792648315,-4.8100948333740234e-05,0.9089999794960022,-0.00010001659393310547,0.1901388168334961,0.9994000196456909,2,524
25,2500,0.16464918851852417,0.10891836136579514,0.10251899808645248,0.3456055521965027,-5.289912223815918e-05,0.9034833312034607,6.663799285888672e-05,0.1953985095024109,0.9993500113487244,0.3305315673351288,-5.543231964111328e-05,0.9103999733924866,-0.00010001659393310547,0.18633529543876648,0.9994000196456909,2,624
26,2600,0.16493190824985504,0.11082248389720917,0.10420935600996017,0.3428879976272583,-5.295872688293457e-05,0.9041833281517029,1.6689300537109375e-05,0.19327251613140106,0.9995333552360535,0.32739412784576416,-5.4955482482910156e-05,0.9118000268936157,-0.0004999637603759766,0.18425361812114716,0.9990000128746033,2,724
27,2700,0.16526643931865692,0.11307556927204132,0.1061939150094986,0.33896535634994507,-6.210803985595703e-05,0.9064333438873291,0.0,0.19001175463199615,0.9995666742324829,0.3243389129638672,-7.191300392150879e-05,0.9135000109672546,0.00020003318786621094,0.18085728585720062,0.9998000264167786,2,824
28,2800,0.16551165282726288,0.11472708731889725,0.10763000696897507,0.33460482954978943,-5.78761100769043e-05,0.9060666561126709,8.33272933959961e-05,0.18514257669448853,0.9994500279426575,0.3196670413017273,-7.319450378417969e-05,0.9125000238418579,0.0,0.1763036549091339,0.9998000264167786,2,924
29,2900,0.16584527492523193,0.11697404831647873,0.10962232202291489,0.33124861121177673,-5.65946102142334e-05,0.9070666432380676,-6.669759750366211e-05,0.1829143613576889,0.9994333386421204,0.31693604588508606,-5.805492401123047e-05,0.9139999747276306,9.995698928833008e-05,0.17398758232593536,0.9995999932289124,3,86
