,step,d_w,d_w_rel_to_init,d_w_rel_to_norm,L_train,del_L_train,acc_train,del_acc_train,L_train_compare,acc_train_compare,L_test,del_L_test,acc_test,del_acc_test,L_test_compare,acc_test_compare,epoch,batch_idx
0,0,1.4847726821899414,-1.6057578022810048e-07,-1.6057578022810048e-07,2.476059675216675,0.015428781509399414,0.08878333121538162,-0.008816666901111603,1.6320291757583618,0.8911666870117188,2.481555938720703,0.015898942947387695,0.07819999754428864,-0.010200001299381256,1.6281942129135132,0.8903999924659729,0,0
1,100,1.4900935888290405,0.003583489451557398,0.003575376933440566,1.5425450801849365,0.008542776107788086,0.6432499885559082,-0.0031833648681640625,1.371902346611023,0.9438166618347168,1.5292555093765259,0.009235739707946777,0.6516000032424927,-0.003000020980834961,1.3582696914672852,0.9459999799728394,0,100
2,200,1.5014923810958862,0.011260617524385452,0.011172676458954811,1.0758659839630127,0.0038236379623413086,0.7730666399002075,-0.0017166733741760254,0.9378352761268616,0.9700666666030884,1.0544787645339966,0.004352927207946777,0.7825000286102295,-0.0004999637603759766,0.9194426536560059,0.9702000021934509,0,200
3,300,1.5115069150924683,0.01800544373691082,0.017766036093235016,0.8449808359146118,0.0048177242279052734,0.8155999779701233,-0.0030666589736938477,0.7062645554542542,0.9805166721343994,0.8224685788154602,0.005276322364807129,0.8205000162124634,-0.0029999613761901855,0.6869840025901794,0.9797999858856201,0,300
4,400,1.520557165145874,0.02410081960260868,0.02366783656179905,0.7194401621818542,0.005240917205810547,0.8375166654586792,-0.0016499757766723633,0.5797399282455444,0.9855999946594238,0.6967656016349792,0.005750000476837158,0.8421000242233276,-0.0018000006675720215,0.562234103679657,0.9850000143051147,0,400
5,500,1.5297129154205322,0.030267251655459404,0.029598113149404526,0.6380366086959839,0.004740118980407715,0.8477500081062317,-0.001116633415222168,0.4924568831920624,0.9869499802589417,0.6161365509033203,0.00541234016418457,0.8547999858856201,-0.0012000203132629395,0.4760726988315582,0.9873999953269958,0,500
6,600,1.537295937538147,0.03537444397807121,0.034466780722141266,0.5834110379219055,0.004122316837310791,0.8575166463851929,-0.00021666288375854492,0.43682166934013367,0.989300012588501,0.5623287558555603,0.0049245357513427734,0.8628000020980835,-0.000599980354309082,0.42175185680389404,0.9907000064849854,0,600
7,700,1.5443899631500244,0.04015229642391205,0.03899474814534187,0.5428110361099243,0.003436267375946045,0.8651666641235352,0.0004000067710876465,0.39514321088790894,0.9901999831199646,0.522158145904541,0.004289209842681885,0.8716999888420105,-0.001300036907196045,0.3801802098751068,0.9907000064849854,0,700
8,800,1.5505677461624146,0.04431305453181267,0.04290756955742836,0.510612964630127,0.002753615379333496,0.870283305644989,-0.00034999847412109375,0.36271077394485474,0.9900833368301392,0.49112963676452637,0.003619760274887085,0.8784000277519226,0.0,0.34895020723342896,0.993399977684021,0,800
9,900,1.556525468826294,0.04832560569047928,0.04666876792907715,0.4855141043663025,0.0023346245288848877,0.8742833137512207,-0.00025004148483276367,0.33570796251296997,0.9911333322525024,0.4660760760307312,0.003295034170150757,0.8810999989509583,-0.0012000203132629395,0.3225302994251251,0.9926000237464905,0,900
10,1000,1.5615061521530151,0.05168011412024498,0.049789365381002426,0.4669763743877411,0.0020180344581604004,0.8780333399772644,0.0005500316619873047,0.31611743569374084,0.991683304309845,0.4477224051952362,0.0030660629272460938,0.8855000138282776,-9.995698928833008e-05,0.30386805534362793,0.9923999905586243,1,62
11,1100,1.5668548345565796,0.05528246983885765,0.05313950777053833,0.4509192109107971,0.0016633570194244385,0.8807666897773743,-0.00018328428268432617,0.2977633476257324,0.9923666715621948,0.4313254952430725,0.00272485613822937,0.8870999813079834,-0.0015000104904174805,0.28527694940567017,0.9927999973297119,1,162
12,1200,1.5716888904571533,0.058538224548101425,0.05614953488111496,0.4364866614341736,0.0014094710350036621,0.8842999935150146,0.000299990177154541,0.284052312374115,0.9924333095550537,0.4177171289920807,0.002421826124191284,0.8916000127792358,0.0,0.2718048691749573,0.9929999709129333,1,262
13,1300,1.5761866569519043,0.061567485332489014,0.058941297233104706,0.42379438877105713,0.0011760592460632324,0.8866999745368958,-5.0008296966552734e-05,0.27157139778137207,0.9930333495140076,0.4054742455482483,0.002213090658187866,0.8949000239372253,0.0006999969482421875,0.25995934009552,0.9944000244140625,1,362
14,1400,1.5799363851547241,0.06409294158220291,0.061252668499946594,0.41410666704177856,0.0010271668434143066,0.8888000249862671,0.00018334388732910156,0.2620362341403961,0.9935333132743835,0.39634940028190613,0.002086251974105835,0.8964999914169312,-0.000599980354309082,0.25084564089775085,0.9932000041007996,1,462
15,1500,1.5841879844665527,0.06695640832185745,0.06387514621019363,0.4046374261379242,0.0008952021598815918,0.8900499939918518,0.0001666545867919922,0.2518174350261688,0.9937666654586792,0.38765743374824524,0.0019342005252838135,0.8971999883651733,-0.000500023365020752,0.2410612851381302,0.9939000010490417,1,562
16,1600,1.5885307788848877,0.06988129764795303,0.06655687093734741,0.3946564197540283,0.0007936060428619385,0.8927666544914246,0.0004999637603759766,0.24267330765724182,0.9937499761581421,0.3771068751811981,0.0018014907836914062,0.8998000025749207,-0.00010001659393310547,0.2321653515100479,0.9939000010490417,1,662
17,1700,1.5920498371124268,0.07225139439105988,0.06870543211698532,0.3887295126914978,0.0006340146064758301,0.8940833210945129,0.0003833174705505371,0.23591431975364685,0.994866669178009,0.3724944293498993,0.0015347301959991455,0.9014999866485596,9.995698928833008e-05,0.2264954298734665,0.9922000169754028,1,762
18,1800,1.5955628156661987,0.074617400765419,0.0708489716053009,0.38175106048583984,0.000565648078918457,0.8956999778747559,-0.00026667118072509766,0.22883698344230652,0.9944499731063843,0.3651943504810333,0.0015685558319091797,0.9021999835968018,9.995698928833008e-05,0.21876320242881775,0.9944999814033508,1,862
19,1900,1.5992369651794434,0.07709195464849472,0.07309092581272125,0.37455451488494873,0.0005687177181243896,0.8970500230789185,0.00021666288375854492,0.22135330736637115,0.994183361530304,0.3588789403438568,0.0014757215976715088,0.9042999744415283,0.000299990177154541,0.21190759539604187,0.9940000176429749,2,24
20,2000,1.6024380922317505,0.07924792170524597,0.07503163069486618,0.3688088655471802,0.0004961490631103516,0.8980166912078857,5.0008296966552734e-05,0.21594734489917755,0.994616687297821,0.35331791639328003,0.0013261139392852783,0.9057999849319458,-0.001100003719329834,0.20687741041183472,0.994700014591217,2,124
21,2100,1.6058095693588257,0.08151862770318985,0.07708024978637695,0.36362969875335693,0.00046449899673461914,0.899566650390625,-0.00026667118072509766,0.2112763226032257,0.9947999715805054,0.34862640500068665,0.0012156665325164795,0.9072999954223633,0.00019997358322143555,0.20199468731880188,0.9944999814033508,2,224
22,2200,1.6090061664581299,0.08367154747247696,0.07902143150568008,0.3594675660133362,0.00044405460357666016,0.8998166918754578,-0.00034999847412109375,0.20862042903900146,0.9944000244140625,0.34375208616256714,0.0011729001998901367,0.9088000059127808,-0.000500023365020752,0.199127197265625,0.9947999715805054,2,324
23,2300,1.6125032901763916,0.0860268697142601,0.0811547264456749,0.3544048070907593,0.00037619471549987793,0.9011333584785461,6.669759750366211e-05,0.203501895070076,0.9944833517074585,0.33988702297210693,0.001049339771270752,0.9097999930381775,0.00010001659393310547,0.19410161674022675,0.9940000176429749,2,424
24,2400,1.6155571937561035,0.08808368444442749,0.0829986110329628,0.3512342572212219,0.0003848075866699219,0.902316689491272,0.00011670589447021484,0.20028337836265564,0.9946833252906799,0.33702242374420166,0.0010018348693847656,0.9088000059127808,-0.000299990177154541,0.1908700317144394,0.9955999851226807,2,524
25,2500,1.6187584400177002,0.0902397409081459,0.08493781834840775,0.346057265996933,0.00039881467819213867,0.9035000205039978,8.33272933959961e-05,0.19612450897693634,0.9950500130653381,0.3316071629524231,0.0010201632976531982,0.9101999998092651,-0.000299990177154541,0.18727730214595795,0.9934999942779541,2,624
