,step,d_w,d_w_rel_to_init,d_w_rel_to_norm,L_train,del_L_train,acc_train,del_acc_train,L_train_compare,acc_train_compare,L_test,del_L_test,acc_test,del_acc_test,L_test_compare,acc_test_compare,epoch,batch_idx
0,0,1.4847733974456787,3.2115156045620097e-07,3.2115156045620097e-07,2.466566562652588,0.0059356689453125,0.09826666861772537,0.0006666705012321472,1.6509522199630737,0.896049976348877,2.471817970275879,0.0061609745025634766,0.09000000357627869,0.0016000047326087952,1.6468579769134521,0.8928999900817871,0,0
1,100,1.4915580749511719,0.004569826181977987,0.004559480585157871,1.5422074794769287,0.008205175399780273,0.64451664686203,-0.0019167065620422363,1.3752440214157104,0.946399986743927,1.5282084941864014,0.008188724517822266,0.6520000100135803,-0.0026000142097473145,1.3610228300094604,0.9478999972343445,0,100
2,200,1.5052037239074707,0.013760221190750599,0.013652758672833443,1.078977108001709,0.006934762001037598,0.7754499912261963,0.0006666779518127441,0.9435037970542908,0.9714499711990356,1.0568571090698242,0.006731271743774414,0.7840999960899353,0.001100003719329834,0.9260437488555908,0.9733999967575073,0,200
3,300,1.518142819404602,0.022474749013781548,0.022175917401909828,0.8441932201385498,0.004030108451843262,0.8187500238418579,8.338689804077148e-05,0.7074856162071228,0.9811000227928162,0.8209360241889954,0.003743767738342285,0.8246999979019165,0.0012000203132629395,0.6888794898986816,0.9822999835014343,0,300
4,400,1.5295584201812744,0.030163198709487915,0.029621301218867302,0.7168427109718323,0.0026434659957885742,0.8393833041191101,0.00021666288375854492,0.5784164667129517,0.9852499961853027,0.6934007406234741,0.0023851394653320312,0.8453999757766724,0.001499950885772705,0.5613476037979126,0.9861999750137329,0,400
5,500,1.5409950017929077,0.0378657765686512,0.03702865540981293,0.6357472538948059,0.0024507641792297363,0.8489000201225281,3.337860107421875e-05,0.49063587188720703,0.9862499833106995,0.6128819584846497,0.002157747745513916,0.8568000197410583,0.000800013542175293,0.474729984998703,0.9889000058174133,0,500
6,600,1.5509260892868042,0.04455440118908882,0.043411191552877426,0.5812436938285828,0.001954972743988037,0.857366681098938,-0.00036662817001342773,0.4350103735923767,0.9880333542823792,0.5591339468955994,0.001729726791381836,0.8633000254631042,-9.995698928833008e-05,0.4206429123878479,0.9879999756813049,0,600
7,700,1.5597985982894897,0.05053006857633591,0.04907333850860596,0.5409314036369324,0.0015566349029541016,0.8647666573524475,0.0,0.3934321999549866,0.9894333481788635,0.5192724466323853,0.001403510570526123,0.8730000257492065,0.0,0.3789213299751282,0.9908000230789185,0,700
8,800,1.5678540468215942,0.055955443531274796,0.05418068915605545,0.509082019329071,0.0012226700782775879,0.8706833124160767,5.0008296966552734e-05,0.3610391616821289,0.9904166460037231,0.48856326937675476,0.0010533928871154785,0.8776999711990356,-0.0007000565528869629,0.34779298305511475,0.9923999905586243,0,800
9,900,1.5755072832107544,0.06110992655158043,0.059014782309532166,0.4842025637626648,0.0010230839252471924,0.8745666742324829,3.331899642944336e-05,0.3342963457107544,0.9909166693687439,0.46372827887535095,0.0009472370147705078,0.8828999996185303,0.000599980354309082,0.321441650390625,0.9922999739646912,0,900
10,1000,1.5818085670471191,0.0653538629412651,0.0629628524184227,0.4658697843551636,0.0009114444255828857,0.8774999976158142,1.6689300537109375e-05,0.31484124064445496,0.9914500117301941,0.44544681906700134,0.0007904767990112305,0.8852999806404114,-0.000299990177154541,0.302834689617157,0.9939000010490417,1,62
11,1100,1.5886346101760864,0.06995122879743576,0.06723964959383011,0.45001134276390076,0.0007554888725280762,0.8807666897773743,-0.00018328428268432617,0.296642541885376,0.9923333525657654,0.42932412028312683,0.0007234811782836914,0.8889999985694885,0.0004000067710876465,0.28446587920188904,0.9926999807357788,1,162
12,1200,1.5949349403381348,0.0741945207118988,0.07116696983575821,0.43569329380989075,0.0006161034107208252,0.8842999935150146,0.000299990177154541,0.2831350564956665,0.9921833276748657,0.4158395528793335,0.0005442500114440918,0.8907999992370605,-0.000800013542175293,0.27107641100883484,0.9934999942779541,1,262
13,1300,1.6010891199111938,0.07833938300609589,0.07499778270721436,0.423117071390152,0.0004987418651580811,0.8864499926567078,-0.000299990177154541,0.2707093358039856,0.992983341217041,0.4037531614303589,0.0004920065402984619,0.8934000134468079,-0.000800013542175293,0.2595219612121582,0.9927999973297119,1,362
14,1400,1.6062333583831787,0.0818040519952774,0.07817891240119934,0.413511723279953,0.0004322230815887451,0.8884166479110718,-0.00020003318786621094,0.26121875643730164,0.9926000237464905,0.3946555554866791,0.0003924071788787842,0.8964999914169312,-0.000599980354309082,0.25023597478866577,0.9926999807357788,1,462
15,1500,1.6117695569992065,0.08553270250558853,0.08159657567739487,0.4038616418838501,0.00011941790580749512,0.8899166584014893,3.331899642944336e-05,0.25103503465652466,0.9933500289916992,0.38578805327415466,6.48200511932373e-05,0.8964999914169312,-0.0012000203132629395,0.2404462844133377,0.9923999905586243,1,562
