,step,d_w,d_w_rel_to_init,d_w_rel_to_norm,L_train,del_L_train,acc_train,del_acc_train,L_train_compare,acc_train_compare,L_test,del_L_test,acc_test,del_acc_test,L_test_compare,acc_test_compare,epoch,batch_idx
0,0,14.847733497619629,3.211515888779104e-07,3.211515888779104e-07,2.361773729324341,-0.09885716438293457,0.07705000042915344,-0.020549997687339783,2.2950971126556396,0.13493333756923676,2.363225221633911,-0.1024317741394043,0.08240000158548355,-0.00599999725818634,2.283911943435669,0.1460999995470047,0,0
1,100,14.887331008911133,0.002667228225618601,0.0026611897628754377,1.5326441526412964,-0.0013581514358520508,0.677299976348877,0.030866622924804688,1.546978235244751,0.646049976348877,1.5139528512954712,-0.00606691837310791,0.6884999871253967,0.03389996290206909,1.533182978630066,0.6478999853134155,0,100
2,200,14.971829414367676,0.008358227089047432,0.008292952552437782,1.0895029306411743,0.01746058464050293,0.7709000110626221,-0.0038833022117614746,1.023564100265503,0.8120333552360535,1.0637868642807007,0.013661026954650879,0.7864999771118164,0.0034999847412109375,1.002348780632019,0.8223999738693237,0,200
3,300,15.057787895202637,0.014147561974823475,0.013959451578557491,0.855440080165863,0.015276968479156494,0.8099333047866821,-0.00873333215713501,0.7647085785865784,0.8682500123977661,0.8287755846977234,0.011583328247070312,0.8194000124931335,-0.0040999650955200195,0.7463661432266235,0.8671000003814697,0,300
4,400,15.131473541259766,0.019110318273305893,0.018766991794109344,0.724621593952179,0.010422348976135254,0.8345500230789185,-0.0046166181564331055,0.6210603713989258,0.8983833193778992,0.6980586051940918,0.007043004035949707,0.8438000082969666,-0.00010001659393310547,0.6051545739173889,0.8937000036239624,0,400
5,500,15.198912620544434,0.023652363568544388,0.02312946505844593,0.6406798362731934,0.0073833465576171875,0.8451833128929138,-0.003683328628540039,0.5255279541015625,0.9161499738693237,0.6150122284889221,0.004288017749786377,0.8539000153541565,-0.0020999908447265625,0.511788010597229,0.914900004863739,0,500
6,600,15.256701469421387,0.02754446491599083,0.026837708428502083,0.5841379761695862,0.004849255084991455,0.8555499911308289,-0.0021833181381225586,0.4630831182003021,0.9267833232879639,0.5591270923614502,0.001722872257232666,0.8626000285148621,-0.0007999539375305176,0.45004594326019287,0.9271000027656555,0,600
7,700,15.309280395507812,0.031085675582289696,0.030189506709575653,0.5427730679512024,0.003398299217224121,0.8645166754722595,-0.0002499818801879883,0.4169022738933563,0.9360166788101196,0.5186059474945068,0.0007370114326477051,0.8700000047683716,-0.003000020980834961,0.4031893014907837,0.9370999932289124,0,700
8,800,15.357645988464355,0.034343115985393524,0.03325384482741356,0.5101007223129272,0.002241373062133789,0.8714333176612854,0.000800013542175293,0.3827763795852661,0.9415333271026611,0.4879283607006073,0.0004184842109680176,0.8773999810218811,-0.001000046730041504,0.37117210030555725,0.9398000240325928,0,800
9,900,15.40106201171875,0.03726720064878464,0.03598950058221817,0.4845595061779022,0.0013800263404846191,0.875166654586792,0.0006332993507385254,0.3531925678253174,0.9469333291053772,0.46252623200416565,-0.0002548098564147949,0.8816999793052673,-0.0006000399589538574,0.342435359954834,0.9456999897956848,0,900
10,1000,15.439131736755371,0.03983120992779732,0.03837396204471588,0.46603718400001526,0.0010788440704345703,0.8780333399772644,0.0005500316619873047,0.3328399062156677,0.9499666690826416,0.44431859254837036,-0.000337749719619751,0.8863999843597412,0.000800013542175293,0.3235025405883789,0.9498000144958496,1,62
11,1100,15.477807998657227,0.04243607074022293,0.04079108312726021,0.4491739869117737,-8.186697959899902e-05,0.8812833428382874,0.00033336877822875977,0.3132593035697937,0.9532999992370605,0.42726650834083557,-0.0013341307640075684,0.8888999819755554,0.000299990177154541,0.302592933177948,0.9520999789237976,1,162
12,1200,15.51308536529541,0.04481201618909836,0.04298343136906624,0.4343737065792084,-0.0007034838199615479,0.8840500116348267,5.0008296966552734e-05,0.29795894026756287,0.9552666544914246,0.4131264090538025,-0.002168893814086914,0.8925999999046326,0.0009999871253967285,0.2870405912399292,0.9571999907493591,1,262
13,1300,15.5463228225708,0.04705056920647621,0.04504360631108284,0.4214566946029663,-0.0011616349220275879,0.8866166472434998,-0.00013333559036254883,0.2848857641220093,0.9569500088691711,0.401150107383728,-0.0021110475063323975,0.8952999711036682,0.0010999441146850586,0.2755189836025238,0.9564999938011169,1,362
14,1400,15.576192855834961,0.049062326550483704,0.04688813537359238,0.411900132894516,-0.0011793673038482666,0.8889333605766296,0.0003166794776916504,0.27467772364616394,0.9591833353042603,0.39158934354782104,-0.002673804759979248,0.8974999785423279,0.0004000067710876465,0.26542219519615173,0.9581999778747559,1,462
15,1500,15.606882095336914,0.051129259169101715,0.04877634346485138,0.40217363834381104,-0.0015685856342315674,0.8910333514213562,0.0011500120162963867,0.2638366222381592,0.9611333608627319,0.3830324113368988,-0.002690821886062622,0.8977000117301941,0.0,0.25608596205711365,0.9575999975204468,1,562
16,1600,15.635503768920898,0.05305694043636322,0.05053288862109184,0.39192917943000793,-0.0019336342811584473,0.8927666544914246,0.0004999637603759766,0.25413018465042114,0.9621666669845581,0.3723200559616089,-0.002985328435897827,0.8996000289916992,-0.000299990177154541,0.24501459300518036,0.9624999761581421,1,662
