,step,d_w,d_w_rel_to_init,d_w_rel_to_norm,L_train,del_L_train,acc_train,del_acc_train,L_train_compare,acc_train_compare,L_test,del_L_test,acc_test,del_acc_test,L_test_compare,acc_test_compare,epoch,batch_idx
0,0,0.014499734155833721,-0.023437604308128357,-0.023437604308128357,2.4607794284820557,0.00014853477478027344,0.09749999642372131,-0.00010000169277191162,1.638654112815857,0.9989500045776367,2.4658093452453613,0.00015234947204589844,0.08820000290870667,-0.00019999593496322632,1.6344010829925537,0.9991000294685364,0,0
1,100,0.015272492542862892,0.02860795520246029,0.02854318916797638,1.5339479446411133,-5.435943603515625e-05,0.6465166807174683,8.33272933959961e-05,1.3657875061035156,0.9988499879837036,1.5199830532073975,-3.6716461181640625e-05,0.6545000076293945,-0.00010001659393310547,1.3517065048217773,0.9983999729156494,0,100
2,200,0.015600251033902168,0.050682611763477325,0.05028679966926575,1.0720491409301758,6.794929504394531e-06,0.7748500108718872,6.669759750366211e-05,0.9339478015899658,0.9995499849319458,1.0501279830932617,2.1457672119140625e-06,0.7832000255584717,0.00020003318786621094,0.9156168699264526,0.9991999864578247,0,200
3,300,0.015906676650047302,0.07132048904895782,0.07037218660116196,0.8401429653167725,-2.014636993408203e-05,0.8188499808311462,0.00018334388732910156,0.7014747858047485,0.9997333288192749,0.817169189453125,-2.3066997528076172e-05,0.8237000107765198,0.00020003318786621094,0.6825516819953918,0.9995999932289124,0,300
4,400,0.016125483438372612,0.08605720102787018,0.08451114594936371,0.7142050266265869,5.781650543212891e-06,0.8391166925430298,-4.9948692321777344e-05,0.5739687085151672,0.999833345413208,0.6910204887390137,4.887580871582031e-06,0.8439000248908997,0.0,0.5567073822021484,1.0,0,400
5,500,0.01638989895582199,0.10386568307876587,0.10156945139169693,0.6332979202270508,1.430511474609375e-06,0.8489000201225281,3.337860107421875e-05,0.48664823174476624,0.999750018119812,0.610735297203064,1.1086463928222656e-05,0.8560000061988831,0.0,0.47054213285446167,0.9997000098228455,0,500
6,600,0.01668541319668293,0.12376867979764938,0.12059292942285538,0.5792956352233887,6.9141387939453125e-06,0.857699990272522,-3.331899642944336e-05,0.4315887689590454,0.9997833371162415,0.5574149489402771,1.0728836059570312e-05,0.8636000156402588,0.00020003318786621094,0.4170185625553131,0.9997000098228455,0,600
7,700,0.017004424706101418,0.1452542245388031,0.14106668531894684,0.5393847823143005,1.0013580322265625e-05,0.8648166656494141,5.0008296966552734e-05,0.39053744077682495,0.9998000264167786,0.5178843140602112,1.537799835205078e-05,0.8729000091552734,-0.00010001659393310547,0.37601086497306824,0.9998999834060669,0,700
8,800,0.017203545197844505,0.15866506099700928,0.15363264083862305,0.5078698396682739,1.049041748046875e-05,0.8706499934196472,1.6689300537109375e-05,0.35876351594924927,0.9997666478157043,0.48752865195274353,1.8775463104248047e-05,0.8784000277519226,0.0,0.3454175591468811,1.0,0,800
9,900,0.0175260528922081,0.18038606643676758,0.17420156300067902,0.48319029808044434,1.0818243026733398e-05,0.8746500015258789,0.00011664628982543945,0.33225634694099426,0.9997833371162415,0.4627971649169922,1.6123056411743164e-05,0.8822000026702881,-0.00010001659393310547,0.3194366693496704,0.9998999834060669,0,900
