,step,d_w,d_w_rel_to_init,d_w_rel_to_norm,L_train,del_L_train,acc_train,del_acc_train,L_train_compare,acc_train_compare,L_test,del_L_test,acc_test,del_acc_test,L_test_compare,acc_test_compare,epoch,batch_idx
0,0,14.847729682922363,6.423031351232567e-08,6.423031351232567e-08,2.3223485946655273,-0.13828229904174805,0.10323332995176315,0.005633331835269928,2.130635976791382,0.5573833584785461,2.3231043815612793,-0.14255261421203613,0.09719999879598618,0.008799999952316284,2.1308164596557617,0.5529000163078308,0,0
1,100,14.846402168273926,-8.934437209973112e-05,-8.914210047805682e-05,1.957823395729065,0.4238210916519165,0.6194499731063843,-0.02698338031768799,1.8928322792053223,0.7828666567802429,1.9513643980026245,0.4313446283340454,0.6255999803543091,-0.029000043869018555,1.8857636451721191,0.7815999984741211,0,100
2,200,14.842849731445312,-0.0003286022983957082,-0.00032603603904135525,1.5760589838027954,0.504016637802124,0.7267000079154968,-0.04808330535888672,1.5066943168640137,0.8764166831970215,1.5615899562835693,0.5114641189575195,0.7372000217437744,-0.045799970626831055,1.4940307140350342,0.8762999773025513,0,200
3,300,14.83143138885498,-0.001097631873562932,-0.0010830373503267765,1.2393767833709717,0.39921367168426514,0.7881166934967041,-0.030549943447113037,1.1582788228988647,0.9147166609764099,1.2194551229476929,0.4022628664970398,0.7994999885559082,-0.02399998903274536,1.1411426067352295,0.9176999926567078,0,300
4,400,14.821306228637695,-0.0017795651219785213,-0.0017475944478064775,1.0001498460769653,0.28595060110092163,0.8124499917030334,-0.026716649532318115,0.906710147857666,0.9289666414260864,0.9785231351852417,0.2875075340270996,0.8230999708175659,-0.02080005407333374,0.8884272575378418,0.9315000176429749,0,400
5,500,14.814955711364746,-0.002207274781540036,-0.0021584772039204836,0.8374115228652954,0.20411503314971924,0.8266833424568176,-0.02218329906463623,0.7300623059272766,0.9323333501815796,0.8180170059204102,0.20729279518127441,0.8356999754905701,-0.02030003070831299,0.7120506167411804,0.9351000189781189,0,500
6,600,14.811203956604004,-0.0024599567987024784,-0.0023968375753611326,0.7272831797599792,0.14799445867538452,0.8421666622161865,-0.015566647052764893,0.6163391470909119,0.9403333067893982,0.7090566158294678,0.15165239572525024,0.8489000201225281,-0.014499962329864502,0.599278450012207,0.940500020980835,0,600
7,700,14.810436248779297,-0.002511662198230624,-0.00243925373069942,0.6492154002189636,0.10984063148498535,0.8527833223342896,-0.011983335018157959,0.5307904481887817,0.9463499784469604,0.6303398609161377,0.11247092485427856,0.8607000112533569,-0.01230001449584961,0.5135918855667114,0.9492999911308289,0,700
8,800,14.811417579650879,-0.002445569261908531,-0.002368002664297819,0.5919076800346375,0.084048330783844,0.8618500232696533,-0.008783280849456787,0.4697188138961792,0.9505000114440918,0.5742284059524536,0.08671852946281433,0.8683000206947327,-0.010100007057189941,0.45295313000679016,0.953000009059906,0,800
9,900,14.812653541564941,-0.002362326718866825,-0.0022813347168266773,0.5505990982055664,0.0674196183681488,0.8674833178520203,-0.007050037384033203,0.42252421379089355,0.9554666876792908,0.5334346294403076,0.07065358757972717,0.8733000159263611,-0.009000003337860107,0.40744712948799133,0.9563000202178955,0,900
