,step,d_w,d_w_rel_to_init,d_w_rel_to_norm,L_train,del_L_train,acc_train,del_acc_train,L_train_compare,acc_train_compare,L_test,del_L_test,acc_test,del_acc_test,L_test_compare,acc_test_compare,epoch,batch_idx
0,0,0.0,,,2.4606308937072754,0.0,0.09759999811649323,0.0,1.6388006210327148,1.0,2.4656569957733154,0.0,0.08839999884366989,0.0,1.6345430612564087,1.0,0,0
1,100,0.0,,,1.5340023040771484,0.0,0.6464333534240723,0.0,1.3660190105438232,1.0,1.520019769668579,0.0,0.6546000242233276,0.0,1.3519463539123535,1.0,0,100
2,200,0.0,,,1.0720423460006714,0.0,0.7747833132743835,0.0,0.9339442849159241,1.0,1.0501258373260498,0.0,0.7829999923706055,0.0,0.9156217575073242,1.0,0,200
3,300,0.0,,,0.8401631116867065,0.0,0.8186666369438171,0.0,0.701492190361023,1.0,0.8171922564506531,0.0,0.8234999775886536,0.0,0.6825854778289795,1.0,0,300
4,400,0.0,,,0.7141992449760437,0.0,0.8391666412353516,0.0,0.5739518404006958,1.0,0.6910156011581421,0.0,0.8439000248908997,0.0,0.5566970109939575,1.0,0,400
5,500,0.0,,,0.6332964897155762,0.0,0.8488666415214539,0.0,0.48662543296813965,1.0,0.6107242107391357,0.0,0.8560000061988831,0.0,0.47052842378616333,1.0,0,500
6,600,0.0,,,0.5792887210845947,0.0,0.8577333092689514,0.0,0.4315723776817322,1.0,0.5574042201042175,0.0,0.8633999824523926,0.0,0.41701772809028625,1.0,0,600
7,700,0.0,,,0.5393747687339783,0.0,0.8647666573524475,0.0,0.3905068039894104,1.0,0.5178689360618591,0.0,0.8730000257492065,0.0,0.37598541378974915,1.0,0,700
8,800,0.0,,,0.5078593492507935,0.0,0.8706333041191101,0.0,0.3587368428707123,1.0,0.4875098764896393,0.0,0.8784000277519226,0.0,0.34539902210235596,1.0,0,800
9,900,0.0,,,0.4831794798374176,0.0,0.8745333552360535,0.0,0.33222275972366333,1.0,0.46278104186058044,0.0,0.8823000192642212,0.0,0.31940677762031555,1.0,0,900
10,1000,0.0,,,0.4649583399295807,0.0,0.8774833083152771,0.0,0.3130932152271271,1.0,0.4446563422679901,0.0,0.8855999708175659,0.0,0.30112653970718384,1.0,1,62
11,1100,0.0,,,0.4492558538913727,0.0,0.8809499740600586,0.0,0.2951304614543915,1.0,0.42860063910484314,0.0,0.8885999917984009,0.0,0.28290244936943054,1.0,1,162
12,1200,0.0,,,0.4350771903991699,0.0,0.8840000033378601,0.0,0.2817079722881317,1.0,0.4152953028678894,0.0,0.8916000127792358,0.0,0.2697802782058716,1.0,1,262
13,1300,0.0,,,0.4226183295249939,0.0,0.8867499828338623,0.0,0.2695425748825073,1.0,0.4032611548900604,0.0,0.8942000269889832,0.0,0.25828269124031067,1.0,1,362
