,step,d_w,d_w_rel_to_init,d_w_rel_to_norm,L_train,del_L_train,acc_train,del_acc_train,L_train_compare,acc_train_compare,L_test,del_L_test,acc_test,del_acc_test,L_test_compare,acc_test_compare,epoch,batch_idx
0,0,14.847721099853516,-5.138425080986053e-07,-5.138425080986053e-07,2.538820266723633,0.07818937301635742,0.05088333413004875,-0.04671666398644447,2.223421335220337,0.24823333323001862,2.5339739322662354,0.06831693649291992,0.04919999837875366,-0.03920000046491623,2.211214542388916,0.249099999666214,0,0
1,100,14.891031265258789,0.0029164417646825314,0.002909839153289795,1.6185826063156128,0.08458030223846436,0.6342333555221558,-0.012199997901916504,1.5985041856765747,0.6555500030517578,1.5982896089553833,0.0782698392868042,0.6484000086784363,-0.006200015544891357,1.5862634181976318,0.6557000279426575,0,100
2,200,14.983960151672363,0.009175236336886883,0.009103581309318542,1.1463747024536133,0.0743323564529419,0.7578499913215637,-0.016933321952819824,1.0821936130523682,0.8118500113487244,1.117082953453064,0.06695711612701416,0.7727000117301941,-0.010299980640411377,1.0601307153701782,0.819100022315979,0,200
3,300,15.075297355651855,0.015326830558478832,0.015123040415346622,0.893997311592102,0.05383419990539551,0.8059499859809875,-0.01271665096282959,0.8063031435012817,0.8722000122070312,0.8649680614471436,0.04777580499649048,0.8156999945640564,-0.007799983024597168,0.7849100828170776,0.8762000203132629,0,300
4,400,15.152676582336426,0.02053835056722164,0.020169368013739586,0.7524000406265259,0.03820079565048218,0.8304166793823242,-0.008749961853027344,0.6538575291633606,0.8993499875068665,0.7236965298652649,0.0326809287071228,0.8424999713897705,-0.0014000535011291504,0.6354665756225586,0.8999999761581421,0,400
5,500,15.223048210144043,0.02527790516614914,0.02471907064318657,0.6611341834068298,0.027837693691253662,0.843416690826416,-0.005449950695037842,0.5498687624931335,0.9176333546638489,0.6343955993652344,0.023671388626098633,0.8521999716758728,-0.003800034523010254,0.5326496362686157,0.91839998960495,0,500
6,600,15.284445762634277,0.029413053765892982,0.028658350929617882,0.5989812612533569,0.019692540168762207,0.8532500267028809,-0.004483282566070557,0.48178690671920776,0.9270166754722595,0.5738742351531982,0.016470015048980713,0.8611999750137329,-0.002200007438659668,0.4666683077812195,0.9294999837875366,0,600
7,700,15.338624000549316,0.03306197747588158,0.03210883587598801,0.5536213517189026,0.014246582984924316,0.8627333045005798,-0.0020333528518676758,0.4320206046104431,0.9350500106811523,0.5296810865402222,0.011812150478363037,0.8708000183105469,-0.002200007438659668,0.4164469838142395,0.9366999864578247,0,700
8,800,15.388747215270996,0.03643779456615448,0.035282086580991745,0.5187197923660278,0.010860443115234375,0.8709999918937683,0.0003666877746582031,0.39615634083747864,0.9403666853904724,0.49669790267944336,0.009188026189804077,0.8754000067710876,-0.003000020980834961,0.38279852271080017,0.9394000172615051,0,800
9,900,15.433969497680664,0.039483532309532166,0.03812984377145767,0.4917493164539337,0.008569836616516113,0.8754833340644836,0.0009499788284301758,0.36457890272140503,0.9455999732017517,0.47042563557624817,0.007644593715667725,0.8805000185966492,-0.0018000006675720215,0.352713406085968,0.9435999989509583,0,900
10,1000,15.47576904296875,0.04229874536395073,0.040751222521066666,0.47108784317970276,0.00612950325012207,0.8788166642189026,0.0013333559036254883,0.34217125177383423,0.9478499889373779,0.4503437578678131,0.005687415599822998,0.8847000002861023,-0.000899970531463623,0.330531507730484,0.9476000070571899,1,62
11,1100,15.514370918273926,0.04489859566092491,0.0431581512093544,0.4535793364048004,0.004323482513427734,0.8815666437149048,0.0006166696548461914,0.321018248796463,0.9514666795730591,0.4328036606311798,0.00420302152633667,0.8885999917984009,0.0,0.3094455301761627,0.9523000121116638,1,162
12,1200,15.5516996383667,0.047412700951099396,0.04547799378633499,0.43813225626945496,0.003055065870285034,0.8846499919891357,0.0006499886512756348,0.305260568857193,0.9533833265304565,0.4180389642715454,0.002743661403656006,0.8920999765396118,0.0004999637603759766,0.29282107949256897,0.9560999870300293,1,262
13,1300,15.585653305053711,0.04969949275255203,0.04757953807711601,0.42462649941444397,0.0020081698894500732,0.8870999813079834,0.00034999847412109375,0.29107335209846497,0.9554499983787537,0.4058290719985962,0.0025679171085357666,0.8939999938011169,-0.00020003318786621094,0.27925631403923035,0.9574000239372253,1,362
14,1400,15.616057395935059,0.051747217774391174,0.04945404455065727,0.41451165080070496,0.0014321506023406982,0.8891500234603882,0.0005333423614501953,0.2798289358615875,0.9572833180427551,0.39575958251953125,0.001496434211730957,0.8964999914169312,-0.000599980354309082,0.26808565855026245,0.9595000147819519,1,462
15,1500,15.646784782409668,0.053816720843315125,0.05134013295173645,0.4046597182750702,0.0009174942970275879,0.8915666937828064,0.001683354377746582,0.2687546908855438,0.9592000246047974,0.38704970479011536,0.0013264715671539307,0.8970000147819519,-0.0006999969482421875,0.2585906386375427,0.9587000012397766,1,562
16,1600,15.677253723144531,0.05586881563067436,0.053210996091365814,0.39423149824142456,0.0003686845302581787,0.8931833505630493,0.0009166598320007324,0.25833719968795776,0.9606166481971741,0.37618231773376465,0.0008769333362579346,0.9000999927520752,0.00019997358322143555,0.2474982887506485,0.9613999724388123,1,662
17,1700,15.705318450927734,0.057758983224630356,0.05492428317666054,0.3878338634967804,-0.00026163458824157715,0.894016683101654,0.0003166794776916504,0.2507736384868622,0.9612500071525574,0.3712431788444519,0.0002834796905517578,0.9006999731063843,-0.0007000565528869629,0.24107682704925537,0.9628000259399414,1,762
18,1800,15.731792449951172,0.05954201892018318,0.056534942239522934,0.38054129481315613,-0.0006441175937652588,0.897183358669281,0.0012167096138000488,0.2433113008737564,0.9635833501815796,0.3633103370666504,-0.0003154575824737549,0.902999997138977,0.000899970531463623,0.23394499719142914,0.9632999897003174,1,862
