,step,d_w,d_w_rel_to_init,d_w_rel_to_norm,L_train,del_L_train,acc_train,del_acc_train,L_train_compare,acc_train_compare,L_test,del_L_test,acc_test,del_acc_test,L_test_compare,acc_test_compare,epoch,batch_idx
0,0,14.847718238830566,-7.065334557410097e-07,-7.065334557410097e-07,2.4258384704589844,-0.034792423248291016,0.062033332884311676,-0.03556666523218155,2.1456985473632812,0.10691666603088379,2.424943208694458,-0.04071378707885742,0.06040000170469284,-0.02799999713897705,2.149407148361206,0.10249999910593033,0,0
1,100,14.885787963867188,0.002563303569331765,0.0025575002655386925,1.5310368537902832,-0.0029654502868652344,0.6621999740600586,0.015766620635986328,1.5071533918380737,0.6705333590507507,1.5144187211990356,-0.005601048469543457,0.6762999892234802,0.021699965000152588,1.4928632974624634,0.6735000014305115,0,100
2,200,14.970633506774902,0.008277681656181812,0.008213036693632603,1.0719395875930786,-0.00010275840759277344,0.7668166756629944,-0.00796663761138916,1.0040847063064575,0.8174833059310913,1.047769546508789,-0.002356290817260742,0.7857000231742859,0.00270003080368042,0.9844365119934082,0.8282999992370605,0,200
3,300,15.052839279174805,0.013814271427690983,0.013630591332912445,0.8470837473869324,0.00692063570022583,0.8111666440963745,-0.007499992847442627,0.7561854124069214,0.8737166523933411,0.8205190300941467,0.0033267736434936523,0.8245000243186951,0.001000046730041504,0.7357362508773804,0.8790000081062317,0,300
4,400,15.123246192932129,0.018556201830506325,0.018222831189632416,0.7230656147003174,0.008866369724273682,0.8326166868209839,-0.006549954414367676,0.6199829578399658,0.8991000056266785,0.696419358253479,0.005403757095336914,0.8447999954223633,0.000899970531463623,0.6011931300163269,0.9024999737739563,0,400
5,500,15.186356544494629,0.02280670776963234,0.022302504628896713,0.6416747570037842,0.008378267288208008,0.8448333144187927,-0.004033327102661133,0.5263778567314148,0.9163833260536194,0.6156132817268372,0.004889070987701416,0.8560000061988831,0.0,0.5079719424247742,0.9196000099182129,0,500
6,600,15.241666793823242,0.026531873270869255,0.02585110068321228,0.5868605971336365,0.007571876049041748,0.8550999760627747,-0.002633333206176758,0.46622955799102783,0.9262499809265137,0.5615147352218628,0.004110515117645264,0.866100013256073,0.00270003080368042,0.4490169882774353,0.9301000237464905,0,600
7,700,15.292306900024414,0.029942503198981285,0.029079291969537735,0.546034038066864,0.006659269332885742,0.8631333112716675,-0.0016333460807800293,0.4203043282032013,0.9351833462715149,0.5210878252983093,0.0032188892364501953,0.871999979019165,-0.001000046730041504,0.40331777930259705,0.9370999932289124,0,700
8,800,15.337118148803711,0.03296055644750595,0.03191513940691948,0.5134073495864868,0.005548000335693359,0.8699166774749756,-0.0007166266441345215,0.386038213968277,0.9412999749183655,0.49081581830978394,0.0033059418201446533,0.8808000087738037,0.0023999810218811035,0.3707502484321594,0.9441999793052673,0,800
9,900,15.377190589904785,0.03565945103764534,0.034436874091625214,0.4886288046836853,0.0054493248462677,0.8740166425704956,-0.0005167126655578613,0.35677143931388855,0.9465000033378601,0.46623072028160095,0.003449678421020508,0.8841000199317932,0.0018000006675720215,0.3430040180683136,0.9484000205993652,0,900
