,step,d_w,d_w_rel_to_init,d_w_rel_to_norm,L_train,del_L_train,acc_train,del_acc_train,L_train_compare,acc_train_compare,L_test,del_L_test,acc_test,del_acc_test,L_test_compare,acc_test_compare,epoch,batch_idx
0,0,1.4847726821899414,-1.6057578022810048e-07,-1.6057578022810048e-07,2.4598286151885986,-0.0008022785186767578,0.09441666305065155,-0.003183335065841675,1.6480793952941895,0.8478166460990906,2.4656970500946045,4.00543212890625e-05,0.08550000190734863,-0.0028999969363212585,1.6440621614456177,0.8432999849319458,0,0
1,100,1.491999864578247,0.004867373034358025,0.0048563540913164616,1.5301589965820312,-0.0038433074951171875,0.6525333523750305,0.006099998950958252,1.3706941604614258,0.9471499919891357,1.516915202140808,-0.003104567527770996,0.6585999727249146,0.003999948501586914,1.3575561046600342,0.9466000199317932,0,100
2,200,1.503674030303955,0.012729967013001442,0.012630550190806389,1.073595404624939,0.0015530586242675781,0.7764166593551636,0.0016333460807800293,0.9385499358177185,0.9727166891098022,1.0519580841064453,0.0018322467803955078,0.7865999937057495,0.003600001335144043,0.9206050038337708,0.9743000268936157,0,200
3,300,1.5140225887298584,0.019699757918715477,0.019437823444604874,0.8420684933662415,0.0019053816795349121,0.8190666437149048,0.0004000067710876465,0.705390989780426,0.9817833304405212,0.8189898729324341,0.0017976164817810059,0.8241000175476074,0.0006000399589538574,0.6867579817771912,0.9819999933242798,0,300
4,400,1.52250075340271,0.02540983445942402,0.024953333660960197,0.7155131697654724,0.001313924789428711,0.8400166630744934,0.0008500218391418457,0.5766417384147644,0.9863666892051697,0.6920225024223328,0.0010069012641906738,0.8460999727249146,0.0021999478340148926,0.5598700642585754,0.9865999817848206,0,400
5,500,1.5302002429962158,0.03059546835720539,0.02991907298564911,0.634486973285675,0.001190483570098877,0.8494666814804077,0.0006000399589538574,0.48872697353363037,0.9879166483879089,0.6115918159484863,0.0008676052093505859,0.8569999933242798,0.0009999871253967285,0.47300875186920166,0.989799976348877,0,500
6,600,1.5368355512619019,0.035064373165369034,0.0341646671295166,0.5803937911987305,0.0011050701141357422,0.8577666878700256,3.337860107421875e-05,0.43332400918006897,0.9896000027656555,0.5580868721008301,0.0006826519966125488,0.8651000261306763,0.0017000436782836914,0.4190526008605957,0.9900000095367432,0,600
7,700,1.5428309440612793,0.03910228982567787,0.037975013256073,0.5403835773468018,0.0010088086128234863,0.8650333285331726,0.00026667118072509766,0.39196258783340454,0.991100013256073,0.5185299515724182,0.000661015510559082,0.8736000061035156,0.000599980354309082,0.37767478823661804,0.9919000267982483,0,700
8,800,1.5484492778778076,0.04288626089692116,0.04152602702379227,0.5087791085243225,0.0009197592735290527,0.8701500296592712,-0.0004832744598388672,0.35989153385162354,0.9915000200271606,0.4881647825241089,0.0006549060344696045,0.878000020980835,-0.0004000067710876465,0.34684813022613525,0.9929999709129333,0,800
9,900,1.5537306070327759,0.04644325375556946,0.04485095664858818,0.4840397238731384,0.0008602440357208252,0.8744333386421204,-0.00010001659393310547,0.3332759439945221,0.9919166564941406,0.46342211961746216,0.0006410777568817139,0.8812999725341797,-0.001000046730041504,0.32075366377830505,0.9933000206947327,0,900
10,1000,1.5582079887390137,0.049458786845207214,0.047649309039115906,0.465847909450531,0.0008895695209503174,0.8774833083152771,0.0,0.3140583634376526,0.9922666549682617,0.4453481435775757,0.0006918013095855713,0.8870000243186951,0.0014000535011291504,0.3025050759315491,0.9933000206947327,1,62
11,1100,1.5629736185073853,0.052668455988168716,0.05062682554125786,0.4499656558036804,0.0007098019123077393,0.8806999921798706,-0.0002499818801879883,0.29604223370552063,0.9933333396911621,0.4291815459728241,0.000580906867980957,0.8884999752044678,-0.00010001659393310547,0.283954381942749,0.9926999807357788,1,162
12,1200,1.5674654245376587,0.05569370463490486,0.05342108756303787,0.4357500970363617,0.0006729066371917725,0.883566677570343,-0.00043332576751708984,0.2824651300907135,0.9934166669845581,0.41578060388565063,0.00048530101776123047,0.8912000060081482,-0.0004000067710876465,0.2707424461841583,0.9944999814033508,1,262
13,1300,1.57200026512146,0.05874793604016304,0.05624201521277428,0.4231387674808502,0.0005204379558563232,0.8866000175476074,-0.0001499652862548828,0.2702192962169647,0.9936000108718872,0.4037068486213684,0.0004456937313079834,0.8942999839782715,9.995698928833008e-05,0.25926119089126587,0.9944999814033508,1,362
