,step,d_w,d_w_rel_to_init,d_w_rel_to_norm,L_train,del_L_train,acc_train,del_acc_train,L_train_compare,acc_train_compare,L_test,del_L_test,acc_test,del_acc_test,L_test_compare,acc_test_compare,epoch,batch_idx
0,0,14.847719192504883,-6.423031777558208e-07,-6.423031777558208e-07,2.452029228210449,-0.008601665496826172,0.07153332978487015,-0.026066668331623077,2.356499195098877,0.09488333016633987,2.4511210918426514,-0.014535903930664062,0.0778999999165535,-0.010499998927116394,2.3584930896759033,0.09669999778270721,0,0
1,100,14.88270092010498,0.0023553899955004454,0.002350057475268841,1.5358730554580688,0.0018707513809204102,0.660183310508728,0.013749957084655762,1.5162566900253296,0.6718500256538391,1.5142948627471924,-0.005724906921386719,0.675000011920929,0.02039998769760132,1.4990370273590088,0.6794999837875366,0,100
2,200,14.969619750976562,0.008209405466914177,0.008145293220877647,1.1038302183151245,0.031787872314453125,0.7650666832923889,-0.009716629981994629,1.0261757373809814,0.8256000280380249,1.076414704322815,0.026288866996765137,0.7746999859809875,-0.00830000638961792,1.005284309387207,0.8334000110626221,0,200
3,300,15.055819511413574,0.014014991000294685,0.013828642666339874,0.8712753653526306,0.031112253665924072,0.8054166436195374,-0.013249993324279785,0.7734785676002502,0.877216637134552,0.8439579010009766,0.026765644550323486,0.816100001335144,-0.0073999762535095215,0.7541220784187317,0.8827000260353088,0,300
4,400,15.130779266357422,0.0190635584294796,0.018721072003245354,0.7360758185386658,0.02187657356262207,0.8312166929244995,-0.00794994831085205,0.629157304763794,0.9037166833877563,0.7080430388450623,0.017027437686920166,0.8393999934196472,-0.004500031471252441,0.6109053492546082,0.9077000021934509,0,400
5,500,15.197942733764648,0.023587042465806007,0.023065587505698204,0.6494675278663635,0.016171038150787354,0.8441166877746582,-0.004749953746795654,0.5320620536804199,0.9196333289146423,0.6224309802055359,0.011706769466400146,0.8508999943733215,-0.0051000118255615234,0.514274001121521,0.92330002784729,0,500
6,600,15.256599426269531,0.027537591755390167,0.026831012219190598,0.5905504822731018,0.01126176118850708,0.8548499941825867,-0.002883315086364746,0.4682963788509369,0.930649995803833,0.5646442770957947,0.0072400569915771484,0.8605999946594238,-0.00279998779296875,0.45227953791618347,0.9330999851226807,0,600
7,700,15.310691833496094,0.031180735677480698,0.030281826853752136,0.54765385389328,0.008279085159301758,0.8635333180427551,-0.0012333393096923828,0.42116960883140564,0.9384166598320007,0.5216932892799377,0.0038243532180786133,0.8684999942779541,-0.004500031471252441,0.4056324064731598,0.9412000179290771,0,700
8,800,15.359987258911133,0.03450080007314682,0.03340652957558632,0.5135781764984131,0.005718827247619629,0.8709666728973389,0.00033336877822875977,0.3856821060180664,0.9438166618347168,0.4902113676071167,0.002701491117477417,0.8762000203132629,-0.002200007438659668,0.37318816781044006,0.9448999762535095,0,800
9,900,15.40339469909668,0.03742430731654167,0.03614122048020363,0.48734381794929504,0.004164338111877441,0.8749499917030334,0.00041663646697998047,0.35572531819343567,0.9473999738693237,0.46391385793685913,0.0011328160762786865,0.8813999891281128,-0.0009000301361083984,0.3437703251838684,0.949400007724762,0,900
10,1000,15.44360065460205,0.04013219475746155,0.03866393491625786,0.4680202603340149,0.003061920404434204,0.8783000111579895,0.0008167028427124023,0.3343404233455658,0.9502999782562256,0.44512972235679626,0.00047338008880615234,0.8871999979019165,0.001600027084350586,0.3235645294189453,0.9528999924659729,1,62
11,1100,15.481965065002441,0.04271605238318443,0.04106020927429199,0.45124882459640503,0.0019929707050323486,0.8814333081245422,0.0004833340644836426,0.3143436908721924,0.9542166590690613,0.4274359941482544,-0.0011646449565887451,0.8871999979019165,-0.001399993896484375,0.3041372299194336,0.9528999924659729,1,162
12,1200,15.517809867858887,0.04513021185994148,0.04328864440321922,0.4364760220050812,0.0013988316059112549,0.8842333555221558,0.0002333521842956543,0.2991436719894409,0.9569833278656006,0.4140794575214386,-0.0012158453464508057,0.8931999802589417,0.0015999674797058105,0.2890964448451996,0.9573000073432922,1,262
13,1300,15.550180435180664,0.04731038212776184,0.045292336493730545,0.42368510365486145,0.0010667741298675537,0.8869666457176208,0.00021666288375854492,0.28575223684310913,0.9579499959945679,0.40192440152168274,-0.0013367533683776855,0.8950999975204468,0.000899970531463623,0.27576056122779846,0.9589999914169312,1,362
14,1400,15.578731536865234,0.04923330992460251,0.04705153778195381,0.41404905915260315,0.0009695589542388916,0.8891500234603882,0.0005333423614501953,0.27503734827041626,0.9608666896820068,0.3927272856235504,-0.001535862684249878,0.8956999778747559,-0.001399993896484375,0.2664163112640381,0.9585000276565552,1,462
15,1500,15.610441207885742,0.051368966698646545,0.049005020409822464,0.4040311574935913,0.00028893351554870605,0.8909000158309937,0.0010166764259338379,0.2642565667629242,0.9620166420936584,0.38391736149787903,-0.0018058717250823975,0.8967000246047974,-0.0009999871253967285,0.2564603388309479,0.958899974822998,1,562
