,step,d_w,d_w_rel_to_init,d_w_rel_to_norm,L_train,del_L_train,acc_train,del_acc_train,L_train_compare,acc_train_compare,L_test,del_L_test,acc_test,del_acc_test,L_test_compare,acc_test_compare,epoch,batch_idx
0,0,14.847733497619629,3.211515888779104e-07,3.211515888779104e-07,2.5917067527770996,0.13107585906982422,0.08995000272989273,-0.007649995386600494,2.060288190841675,0.1301666647195816,2.5956647396087646,0.13000774383544922,0.09399999678134918,0.005599997937679291,2.057666301727295,0.13179999589920044,0,0
1,100,14.889402389526367,0.0028067363891750574,0.0028003822080790997,1.640412449836731,0.10641014575958252,0.59579998254776,-0.050633370876312256,1.573310136795044,0.6488999724388123,1.6277633905410767,0.10774362087249756,0.6022999882698059,-0.05230003595352173,1.5607117414474487,0.6567000150680542,0,100
2,200,14.982666969299316,0.009088139981031418,0.009017164818942547,1.1610260009765625,0.08898365497589111,0.7460166811943054,-0.028766632080078125,1.0874834060668945,0.8048999905586243,1.1393581628799438,0.08923232555389404,0.7580000162124634,-0.02499997615814209,1.0680198669433594,0.8149999976158142,0,200
3,300,15.07569408416748,0.01535355020314455,0.015149404294788837,0.8949691653251648,0.05480605363845825,0.8003666400909424,-0.018299996852874756,0.8015673160552979,0.8670499920845032,0.8715204000473022,0.05432814359664917,0.8072999715805054,-0.016200006008148193,0.7784647941589355,0.8787000179290771,0,300
4,400,15.155941009521484,0.020758209750056267,0.02038528025150299,0.751740574836731,0.037541329860687256,0.8257166743278503,-0.01344996690750122,0.645276665687561,0.897433340549469,0.7275545597076416,0.03653895854949951,0.8341000080108643,-0.0098000168800354,0.625495433807373,0.9045000076293945,0,400
5,500,15.230231285095215,0.025761688128113747,0.025192156434059143,0.6607774496078491,0.02748095989227295,0.8413000106811523,-0.007566630840301514,0.5440182089805603,0.9148833155632019,0.6379103660583496,0.027186155319213867,0.8482000231742859,-0.007799983024597168,0.5240615606307983,0.9239000082015991,0,500
6,600,15.293241500854492,0.030005449429154396,0.02923554740846157,0.6008346080780029,0.021545886993408203,0.8510666489601135,-0.006666660308837891,0.4772786796092987,0.9264833331108093,0.5789671540260315,0.021562933921813965,0.8603000044822693,-0.003099977970123291,0.45971351861953735,0.9340000152587891,0,600
7,700,15.349954605102539,0.0338250994682312,0.032849956303834915,0.5568109154701233,0.01743614673614502,0.8598833084106445,-0.0048833489418029785,0.42942678928375244,0.9342333078384399,0.5351620316505432,0.017293095588684082,0.8676999807357788,-0.005300045013427734,0.4119385778903961,0.9409999847412109,0,700
8,800,15.40306568145752,0.03740214928984642,0.03621585667133331,0.5222781300544739,0.01441878080368042,0.8678333163261414,-0.00279998779296875,0.39433416724205017,0.9398333430290222,0.5024293661117554,0.014919489622116089,0.8730999827384949,-0.005300045013427734,0.3787168264389038,0.9452999830245972,0,800
9,900,15.449786186218262,0.040548790246248245,0.03915858268737793,0.4958069622516632,0.012627482414245605,0.8725833296775818,-0.0019500255584716797,0.3632385730743408,0.9450666904449463,0.4763781726360321,0.01359713077545166,0.8780999779701233,-0.0042000412940979,0.34853559732437134,0.9498999714851379,0,900
10,1000,15.491935729980469,0.043387580662965775,0.04180021956562996,0.47574546933174133,0.010787129402160645,0.8764166831970215,-0.0010666251182556152,0.341540664434433,0.9483166933059692,0.45665863156318665,0.012002289295196533,0.8816999793052673,-0.003899991512298584,0.3281089961528778,0.9527000188827515,1,62
11,1100,15.531825065612793,0.046074140816926956,0.04428812861442566,0.4586092531681061,0.009353399276733398,0.8802000284194946,-0.0007499456405639648,0.32100921869277954,0.9525833129882812,0.4389905631542206,0.010389924049377441,0.8848999738693237,-0.0037000179290771484,0.3065101206302643,0.9581000208854675,1,162
12,1200,15.570096015930176,0.04865170270204544,0.04666643962264061,0.4432227611541748,0.008145570755004883,0.8833000063896179,-0.0006999969482421875,0.30522045493125916,0.9541333317756653,0.4245593845844269,0.009264081716537476,0.887499988079071,-0.004100024700164795,0.29219046235084534,0.9585000276565552,1,262
13,1300,15.605216026306152,0.051017049700021744,0.04884089529514313,0.4299551546573639,0.007336825132369995,0.885533332824707,-0.0012166500091552734,0.2913898229598999,0.9568666815757751,0.41195225715637207,0.008691102266311646,0.8894000053405762,-0.004800021648406982,0.2788532078266144,0.9609000086784363,1,362
14,1400,15.635833740234375,0.053079161792993546,0.05072696506977081,0.4197947382926941,0.006715238094329834,0.8883000016212463,-0.0003166794776916504,0.28052568435668945,0.9585666656494141,0.4021802544593811,0.00791710615158081,0.892799973487854,-0.0042999982833862305,0.2686713933944702,0.9611999988555908,1,462
15,1500,15.667547225952148,0.055215079337358475,0.05267414078116417,0.40986230969429016,0.006120085716247559,0.8887333273887634,-0.0011500120162963867,0.26922616362571716,0.9598333239555359,0.3933330774307251,0.007609844207763672,0.8930000066757202,-0.004700005054473877,0.258982390165329,0.9613999724388123,1,562
16,1600,15.697607040405273,0.05723961815237999,0.054516587406396866,0.39965659379959106,0.005793780088424683,0.8915833234786987,-0.0006833672523498535,0.2592419981956482,0.9611333608627319,0.38244619965553284,0.007140815258026123,0.8952999711036682,-0.004600048065185547,0.24830199778079987,0.9635000228881836,1,662
17,1700,15.726354598999023,0.059175774455070496,0.056271541863679886,0.3932441771030426,0.00514867901802063,0.8933500051498413,-0.00034999847412109375,0.25208526849746704,0.9628999829292297,0.3777449429035187,0.00678524374961853,0.8970000147819519,-0.004400014877319336,0.24196450412273407,0.9656000137329102,1,762
18,1800,15.752769470214844,0.060954827815294266,0.05787640064954758,0.385823130607605,0.004637718200683594,0.8951166868209839,-0.0008499622344970703,0.24403949081897736,0.9639833569526672,0.36980897188186646,0.00618317723274231,0.8985000252723694,-0.003600001335144043,0.23409223556518555,0.9650999903678894,1,862
19,1900,15.779549598693848,0.06275847554206848,0.05950135365128517,0.37868303060531616,0.004697233438491821,0.8962000012397766,-0.0006333589553833008,0.23611049354076385,0.9654333591461182,0.3636680841445923,0.006264865398406982,0.8999000191688538,-0.0040999650955200195,0.2268051952123642,0.965499997138977,2,24
20,2000,15.804733276367188,0.06445460766553879,0.06102537736296654,0.3727423846721649,0.004429668188095093,0.8973166942596436,-0.0006499886512756348,0.23002634942531586,0.9663333296775818,0.358134925365448,0.006143122911453247,0.9004999995231628,-0.006399989128112793,0.2209004908800125,0.9682999849319458,2,124
21,2100,15.828019142150879,0.06602291762828827,0.062428221106529236,0.3672579824924469,0.004092782735824585,0.899483323097229,-0.00034999847412109375,0.22523310780525208,0.9661166667938232,0.3529416620731354,0.00553092360496521,0.9017999768257141,-0.005300045013427734,0.21591950953006744,0.9682000279426575,2,224
22,2200,15.850815773010254,0.06755828112363815,0.06380367279052734,0.36283189058303833,0.0038083791732788086,0.9003666639328003,0.00019997358322143555,0.22188632190227509,0.9677000045776367,0.3480222523212433,0.005443066358566284,0.902899980545044,-0.006400048732757568,0.21213266253471375,0.9700000286102295,2,324
23,2300,15.8713960647583,0.06894437223672867,0.06503969430923462,0.3577551543712616,0.0037265419960021973,0.9013500213623047,0.00028336048126220703,0.21656298637390137,0.9675833582878113,0.34402161836624146,0.0051839351654052734,0.902899980545044,-0.0067999958992004395,0.2071198672056198,0.9688000082969666,2,424
