,step,d_w,d_w_rel_to_init,d_w_rel_to_norm,L_train,del_L_train,acc_train,del_acc_train,L_train_compare,acc_train_compare,L_test,del_L_test,acc_test,del_acc_test,L_test_compare,acc_test_compare,epoch,batch_idx
0,0,0.014499605633318424,-0.023446260020136833,-0.023446260020136833,2.4605839252471924,-4.696846008300781e-05,0.0975833311676979,-1.6666948795318604e-05,1.6387882232666016,0.9993000030517578,2.465606451034546,-5.054473876953125e-05,0.08820000290870667,-0.00019999593496322632,1.6345289945602417,0.9987999796867371,0,0
1,100,0.014567256905138493,-0.01888992264866829,-0.018847156316041946,1.5339553356170654,-4.696846008300781e-05,0.6464333534240723,0.0,1.3659617900848389,0.9997333288192749,1.5199731588363647,-4.661083221435547e-05,0.654699981212616,9.995698928833008e-05,1.3518866300582886,0.9998999834060669,0,100
2,200,0.014629032462835312,-0.014729315415024757,-0.014614284969866276,1.0719763040542603,-6.604194641113281e-05,0.7748000025749207,1.6689300537109375e-05,0.9338656067848206,0.9997000098228455,1.0500587224960327,-6.711483001708984e-05,0.7829999923706055,0.0,0.9155412912368774,0.9994000196456909,0,200
3,300,0.01469625998288393,-0.01020151749253273,-0.010065875016152859,0.8401477932929993,-1.531839370727539e-05,0.8186500072479248,-1.6629695892333984e-05,0.7014785408973694,0.9998499751091003,0.8171831965446472,-9.059906005859375e-06,0.8234999775886536,0.0,0.6825732588768005,0.9998999834060669,0,300
4,400,0.014758149161934853,-0.006033258978277445,-0.005924868397414684,0.714216947555542,1.7702579498291016e-05,0.8391666412353516,0.0,0.5739619135856628,0.9998833537101746,0.6910361051559448,2.0503997802734375e-05,0.8438000082969666,-0.00010001659393310547,0.5567066669464111,0.9998999834060669,0,400
5,500,0.014846045523881912,-0.00011340664786985144,-0.00011089948384324089,0.6333113312721252,1.4841556549072266e-05,0.8489000201225281,3.337860107421875e-05,0.4866405725479126,0.9998833537101746,0.6107443571090698,2.014636993408203e-05,0.8562999963760376,0.000299990177154541,0.4705442786216736,0.9997000098228455,0,500
6,600,0.014963011257350445,0.007764278445392847,0.0075650569051504135,0.5793046355247498,1.5914440155029297e-05,0.857783317565918,5.0008296966552734e-05,0.4315902292728424,0.9998666644096375,0.557424008846283,1.9788742065429688e-05,0.8633999824523926,0.0,0.41703593730926514,0.9998000264167786,0,600
7,700,0.015055688098073006,0.014006097801029682,0.01360231637954712,0.5393845438957214,9.775161743164062e-06,0.8648333549499512,6.669759750366211e-05,0.3905159831047058,0.9998833537101746,0.5178831219673157,1.4185905456542969e-05,0.8729000091552734,-0.00010001659393310547,0.37599819898605347,0.9998999834060669,0,700
8,800,0.015117451548576355,0.018165888264775276,0.017589716240763664,0.507870078086853,1.0728836059570312e-05,0.8706333041191101,0.0,0.3587457537651062,0.9999333620071411,0.4875236451625824,1.3768672943115234e-05,0.8784000277519226,0.0,0.3454088270664215,1.0,0,800
9,900,0.015194391831755638,0.023347845301032066,0.022547366097569466,0.4831918478012085,1.2367963790893555e-05,0.8745833039283752,4.9948692321777344e-05,0.33222895860671997,0.9998999834060669,0.4627968668937683,1.582503318786621e-05,0.8823000192642212,0.0,0.31941482424736023,1.0,0,900
10,1000,0.015226109884679317,0.02548406645655632,0.024551717564463615,0.4649675786495209,9.238719940185547e-06,0.8774833083152771,0.0,0.3130970895290375,0.9999833106994629,0.4446680247783661,1.1682510375976562e-05,0.885699987411499,0.00010001659393310547,0.3011303246021271,0.9998999834060669,1,62
11,1100,0.01530692633241415,0.030927084386348724,0.029728228226304054,0.44926756620407104,1.1712312698364258e-05,0.8809499740600586,0.0,0.29512956738471985,0.9998499751091003,0.4286140501499176,1.341104507446289e-05,0.8885999917984009,0.0,0.28289973735809326,1.0,1,162
12,1200,0.015365230850875378,0.034853916615247726,0.033431679010391235,0.4350864291191101,9.238719940185547e-06,0.8840166926383972,1.6689300537109375e-05,0.28170862793922424,0.9999499917030334,0.4153050184249878,9.715557098388672e-06,0.8916000127792358,0.0,0.26978057622909546,1.0,1,262
13,1300,0.015468969941139221,0.04184078052639961,0.04005604237318039,0.42262575030326843,7.420778274536133e-06,0.8867666721343994,1.6689300537109375e-05,0.2695435583591461,0.9998833537101746,0.40326476097106934,3.606081008911133e-06,0.8942000269889832,0.0,0.2582816779613495,1.0,1,362
14,1400,0.015491834841668606,0.0433807410299778,0.04145832732319832,0.41308698058128357,7.4803829193115234e-06,0.8886333107948303,1.6629695892333984e-05,0.26009154319763184,0.9999333620071411,0.3942696154117584,6.467103958129883e-06,0.8970999717712402,0.0,0.2491275668144226,1.0,1,462
15,1500,0.01554801594465971,0.04716455936431885,0.04499409347772598,0.4037521481513977,9.924173355102539e-06,0.8898833394050598,0.0,0.2501648962497711,0.9999333620071411,0.38573333621025085,1.0102987289428711e-05,0.897599995136261,-0.00010001659393310547,0.23947487771511078,0.9998999834060669,1,562
16,1600,0.015558983199298382,0.04790320619940758,0.04562433063983917,0.3938728868961334,1.0073184967041016e-05,0.8922500014305115,-1.6689300537109375e-05,0.2410801202058792,0.999916672706604,0.37531524896621704,9.864568710327148e-06,0.8998000025749207,-0.00010001659393310547,0.2306591272354126,0.9998999834060669,1,662
17,1700,0.015636466443538666,0.05312173068523407,0.050514619797468185,0.38810551166534424,1.0013580322265625e-05,0.8937166929244995,1.6689300537109375e-05,0.2346089780330658,0.999916672706604,0.37097254395484924,1.284480094909668e-05,0.9014000296592712,0.0,0.2250797301530838,1.0,1,762
18,1800,0.015665944665670395,0.055107101798057556,0.05232400819659233,0.38118860125541687,3.1888484954833984e-06,0.8959333300590515,-3.331899642944336e-05,0.22769838571548462,0.9999666810035706,0.36363500356674194,9.208917617797852e-06,0.9020000100135803,-0.00010001659393310547,0.2176554650068283,0.9998999834060669,1,862
19,1900,0.015733642503619194,0.059666574001312256,0.056569915264844894,0.37399476766586304,8.970499038696289e-06,0.8968333601951599,0.0,0.220243439078331,0.9998833537101746,0.35741788148880005,1.4662742614746094e-05,0.9039999842643738,0.0,0.21077117323875427,1.0,2,24
20,2000,0.01580091007053852,0.06419707089662552,0.060781534761190414,0.3683203160762787,7.599592208862305e-06,0.8979833126068115,1.6629695892333984e-05,0.21494163572788239,0.9998666644096375,0.3520084619522095,1.665949821472168e-05,0.9067999720573425,-0.00010001659393310547,0.2058776617050171,0.9998999834060669,2,124
21,2100,0.01583823375403881,0.06671082973480225,0.06307867914438248,0.36317121982574463,6.020069122314453e-06,0.8998166918754578,-1.6629695892333984e-05,0.21042267978191376,0.9998999834060669,0.3474247455596924,1.4007091522216797e-05,0.9070000052452087,-0.00010001659393310547,0.20111164450645447,0.9997000098228455,2,224
22,2200,0.01590903289616108,0.0714791789650917,0.06750666350126266,0.35902416706085205,6.556510925292969e-07,0.9002166390419006,4.9948692321777344e-05,0.20770220458507538,0.9998833537101746,0.3425910472869873,1.1861324310302734e-05,0.9093000292778015,0.0,0.19830802083015442,0.9998999834060669,2,324
23,2300,0.01599009521305561,0.07693875581026077,0.07258132100105286,0.35403087735176086,2.2649765014648438e-06,0.901033341884613,-3.331899642944336e-05,0.2026420533657074,0.9999333620071411,0.3388470709323883,9.387731552124023e-06,0.9097999930381775,0.00010001659393310547,0.19305089116096497,0.9998999834060669,2,424
24,2400,0.016071518883109093,0.08242267370223999,0.07766441255807877,0.3508465588092804,-2.8908252716064453e-06,0.902233362197876,3.337860107421875e-05,0.1994773894548416,0.9998666644096375,0.33602961897850037,9.03010368347168e-06,0.9090999960899353,0.0,0.1901770681142807,0.9998000264167786,2,524
25,2500,0.016164278611540794,0.08867007493972778,0.08346037566661835,0.3456563949584961,-2.0563602447509766e-06,0.9034000039100647,-1.6689300537109375e-05,0.19541853666305542,0.9998166561126709,0.33059456944465637,7.569789886474609e-06,0.9104999899864197,0.0,0.18638741970062256,0.9998000264167786,2,624
26,2600,0.01617758348584175,0.08956616371870041,0.08422145992517471,0.3429386019706726,-2.3543834686279297e-06,0.90420001745224,3.337860107421875e-05,0.19329164922237396,0.9998499751091003,0.32744917273521423,8.940696716308594e-08,0.9120000004768372,-0.000299990177154541,0.1842949390411377,0.9997000098228455,2,724
27,2700,0.016205215826630592,0.09142720699310303,0.08586306124925613,0.3390287160873413,1.2516975402832031e-06,0.906416654586792,-1.6689300537109375e-05,0.1900337040424347,0.999916672706604,0.3244151771068573,4.351139068603516e-06,0.9132999777793884,0.0,0.1808920055627823,1.0,2,824
28,2800,0.01625179499387741,0.09456433355808258,0.08871452510356903,0.33466091752052307,-1.7881393432617188e-06,0.906000018119812,1.6689300537109375e-05,0.1851690411567688,0.9999666810035706,0.31973931193351746,-9.238719940185547e-07,0.9125000238418579,0.0,0.17634883522987366,1.0,2,924
29,2900,0.016328608617186546,0.0997377559542656,0.09346932172775269,0.33130836486816406,3.159046173095703e-06,0.9071666598320007,3.331899642944336e-05,0.18294544517993927,0.9999333620071411,0.31700167059898376,7.569789886474609e-06,0.9139999747276306,9.995698928833008e-05,0.1740410327911377,0.9998999834060669,3,86
30,3000,0.016421914100646973,0.10602191835641861,0.0992555245757103,0.3295217454433441,5.245208740234375e-06,0.9078166484832764,1.6629695892333984e-05,0.18163512647151947,0.9999333620071411,0.31501129269599915,7.3015689849853516e-06,0.9147999882698059,0.0,0.17242465913295746,1.0,3,186
31,3100,0.01653766818344593,0.11381799727678299,0.1064450666308403,0.32499179244041443,3.6954879760742188e-06,0.9094499945640564,-3.331899642944336e-05,0.1771799623966217,0.9998999834060669,0.31191524863243103,5.930662155151367e-06,0.9164000153541565,0.0,0.16846951842308044,1.0,3,286
