,step,d_w,d_w_rel_to_init,d_w_rel_to_norm,L_train,del_L_train,acc_train,del_acc_train,L_train_compare,acc_train_compare,L_test,del_L_test,acc_test,del_acc_test,L_test_compare,acc_test_compare,epoch,batch_idx
0,0,14.847724914550781,-2.5692125404930266e-07,-2.5692125404930266e-07,2.333742141723633,-0.12688875198364258,0.12288333475589752,0.025283336639404297,2.3094875812530518,0.14098332822322845,2.329131603240967,-0.13652539253234863,0.12540000677108765,0.037000007927417755,2.307015895843506,0.1437000036239624,0,0
1,100,14.889060974121094,0.0027837420348078012,0.0027774397749453783,1.5776125192642212,0.043610215187072754,0.6240166425704956,-0.02241671085357666,1.582244634628296,0.6207500100135803,1.5627455711364746,0.04272580146789551,0.6349999904632568,-0.0196000337600708,1.5713157653808594,0.625,0,100
2,200,14.973812103271484,0.008491761982440948,0.00842544436454773,1.1384379863739014,0.06639564037322998,0.7559333443641663,-0.018849968910217285,1.075713038444519,0.7969499826431274,1.115226149559021,0.06510031223297119,0.7652000188827515,-0.017799973487854004,1.0574510097503662,0.8059999942779541,0,200
3,300,15.060075759887695,0.014301651157438755,0.014111490920186043,0.8872548937797546,0.047091782093048096,0.8158666491508484,-0.00279998779296875,0.8013688325881958,0.8697666525840759,0.8612866401672363,0.04409438371658325,0.8230000138282776,-0.0004999637603759766,0.7833030819892883,0.8719000220298767,0,300
4,400,15.134867668151855,0.01933891326189041,0.01899147965013981,0.7425311207771301,0.028331875801086426,0.839033305644989,-0.00013333559036254883,0.6426365971565247,0.8989333510398865,0.7158637046813965,0.024848103523254395,0.8463000059127808,0.0023999810218811035,0.6255940794944763,0.899399995803833,0,400
5,500,15.201569557189941,0.023831309750676155,0.02330445498228073,0.652891993522644,0.01959550380706787,0.8479499816894531,-0.0009166598320007324,0.5393146872520447,0.9149166941642761,0.6275339126586914,0.016809701919555664,0.8565000295639038,0.000500023365020752,0.5251655578613281,0.9162999987602234,0,500
6,600,15.25901985168457,0.02770060859620571,0.02698984555900097,0.5923561453819275,0.013067424297332764,0.8560000061988831,-0.0017333030700683594,0.47166356444358826,0.9269000291824341,0.5677427649497986,0.010338544845581055,0.8628000020980835,-0.000599980354309082,0.45879805088043213,0.9261999726295471,0,600
7,700,15.311563491821289,0.03123944252729416,0.030338840559124947,0.5493109822273254,0.009936213493347168,0.8636000156402588,-0.0011666417121887207,0.4227825105190277,0.9332166910171509,0.525181233882904,0.007312297821044922,0.8677999973297119,-0.005200028419494629,0.4086894690990448,0.9350000023841858,0,700
8,800,15.358420372009277,0.03439527004957199,0.03330434858798981,0.5155845284461975,0.007725179195404053,0.8693333268165588,-0.0012999773025512695,0.38807621598243713,0.9400666952133179,0.49361342191696167,0.006103545427322388,0.8741000294685364,-0.0042999982833862305,0.3762023448944092,0.9412000179290771,0,800
9,900,15.400543212890625,0.037232257425785065,0.0359557569026947,0.4894101917743683,0.006230711936950684,0.8735666871070862,-0.0009666681289672852,0.35793280601501465,0.9445666670799255,0.46761977672576904,0.004838734865188599,0.8784000277519226,-0.003899991512298584,0.3473876416683197,0.9452999830245972,0,900
10,1000,15.439003944396973,0.03982260450720787,0.038365673273801804,0.4704872965812683,0.005528956651687622,0.8766000270843506,-0.0008832812309265137,0.3359626829624176,0.9484166502952576,0.44911283254623413,0.0044564902782440186,0.8819000124931335,-0.003699958324432373,0.32623693346977234,0.9483000040054321,1,62
11,1100,15.474801063537598,0.042233552783727646,0.04059641435742378,0.4542042016983032,0.004948347806930542,0.8800833225250244,-0.0008666515350341797,0.3164637088775635,0.9517166614532471,0.4324977993965149,0.003897160291671753,0.8845000267028809,-0.0040999650955200195,0.3064071834087372,0.9502000212669373,1,162
12,1200,15.509429931640625,0.04456581920385361,0.04274728149175644,0.43977656960487366,0.004699379205703735,0.8821166753768921,-0.0018833279609680176,0.30087295174598694,0.9540666937828064,0.4186194837093353,0.003324180841445923,0.8895000219345093,-0.0020999908447265625,0.29107391834259033,0.9539999961853027,1,262
13,1300,15.54105281829834,0.04669563099741936,0.04470381140708923,0.42670759558677673,0.004089266061782837,0.8848166465759277,-0.0019333362579345703,0.2868867814540863,0.9562666416168213,0.40648236870765686,0.0032212138175964355,0.8906000256538391,-0.003600001335144043,0.2778559923171997,0.9567000269889832,1,362
14,1400,15.569397926330566,0.04860468581318855,0.04645077511668205,0.4171321988105774,0.004052698612213135,0.8876500129699707,-0.0009666681289672852,0.27686336636543274,0.9578666687011719,0.3971753418445587,0.002912193536758423,0.8934999704360962,-0.003600001335144043,0.2672848403453827,0.9567999839782715,1,462
15,1500,15.597335815429688,0.05048631504178047,0.04816298559308052,0.40758663415908813,0.0038444101810455322,0.8892333507537842,-0.0006499886512756348,0.26574480533599854,0.9606333374977112,0.38880547881126404,0.0030822455883026123,0.8946999907493591,-0.003000020980834961,0.25847554206848145,0.9569000005722046,1,562
16,1600,15.625447273254395,0.052379630506038666,0.049887802451848984,0.3977488577365875,0.0038860440254211426,0.8910166621208191,-0.0012500286102294922,0.2557747960090637,0.9617666602134705,0.3784652352333069,0.003159850835800171,0.8955000042915344,-0.004400014877319336,0.24780824780464172,0.9596999883651733,1,662
17,1700,15.652045249938965,0.054171014577150345,0.05151240527629852,0.39189398288726807,0.0037984848022460938,0.892216682434082,-0.001483321189880371,0.24928751587867737,0.9620333313941956,0.37428930401802063,0.0033296048641204834,0.8968999981880188,-0.004500031471252441,0.24194103479385376,0.9595000147819519,1,762
18,1800,15.676027297973633,0.055786214768886566,0.0529688224196434,0.3848489820957184,0.003663569688796997,0.8945666551589966,-0.001399993896484375,0.2418881356716156,0.9638833403587341,0.3668009638786316,0.0031751692295074463,0.8985000252723694,-0.003600001335144043,0.23428349196910858,0.9609000086784363,1,862
19,1900,15.700647354125977,0.05744438245892525,0.05446305498480797,0.377409964799881,0.0034241676330566406,0.8952000141143799,-0.0016333460807800293,0.2336413860321045,0.9650333523750305,0.360601007938385,0.003197789192199707,0.9010999798774719,-0.0029000043869018555,0.2265690118074417,0.9620000123977661,2,24
20,2000,15.724724769592285,0.05906600505113602,0.0559234693646431,0.3717566728591919,0.0034439563751220703,0.8962166905403137,-0.0017499923706054688,0.22768579423427582,0.9649333357810974,0.3550882935523987,0.0030964910984039307,0.9020000100135803,-0.0048999786376953125,0.220712810754776,0.9642000198364258,2,124
21,2100,15.747055053710938,0.06056996062397957,0.05727215111255646,0.36670196056365967,0.0035367608070373535,0.8983166813850403,-0.0015166401863098145,0.22294802963733673,0.9658166766166687,0.3507305979728699,0.003319859504699707,0.9025999903678894,-0.004500031471252441,0.21645988523960114,0.9660000205039978,2,224
22,2200,15.766439437866211,0.06187550351023674,0.05843672156333923,0.36268067359924316,0.0036571621894836426,0.8986166715621948,-0.0015500187873840332,0.22008495032787323,0.9675333499908447,0.3457561135292053,0.0031769275665283203,0.9039999842643738,-0.005300045013427734,0.21232539415359497,0.9650999903678894,2,324
23,2300,15.786314010620117,0.06321406364440918,0.05963392183184624,0.35751259326934814,0.003483980894088745,0.8991833329200745,-0.0018833279609680176,0.21448513865470886,0.9677666425704956,0.34195154905319214,0.003113865852355957,0.9038000106811523,-0.005899965763092041,0.20774221420288086,0.9682999849319458,2,424
