,step,d_w,d_w_rel_to_init,d_w_rel_to_norm,L_train,del_L_train,acc_train,del_acc_train,L_train_compare,acc_train_compare,L_test,del_L_test,acc_test,del_acc_test,L_test_compare,acc_test_compare,epoch,batch_idx
0,0,0.014499740675091743,-0.02343716472387314,-0.02343716472387314,2.460709571838379,7.867813110351562e-05,0.09771666675806046,0.00011666864156723022,1.6388341188430786,0.9989500045776367,2.4657373428344727,8.034706115722656e-05,0.08820000290870667,-0.00019999593496322632,1.6345770359039307,0.9987000226974487,0,0
1,100,0.015045269392430782,0.013304393738508224,0.013274273835122585,1.5344105958938599,0.0004082918167114258,0.6465833187103271,0.0001499652862548828,1.3664774894714355,0.9989500045776367,1.5204230546951294,0.00040328502655029297,0.6546000242233276,0.0,1.352400302886963,0.998199999332428,0,100
2,200,0.015318580903112888,0.03171202540397644,0.031464364379644394,1.0722612142562866,0.00021886825561523438,0.7748833298683167,0.00010001659393310547,0.9341820478439331,0.9994333386421204,1.0503332614898682,0.00020742416381835938,0.7825999855995178,-0.0004000067710876465,0.915863573551178,0.9991000294685364,0,200
3,300,0.01557935681194067,0.04927537590265274,0.04862019419670105,0.8402385711669922,7.545948028564453e-05,0.8187999725341797,0.00013333559036254883,0.7016115188598633,0.9996833205223083,0.8172671794891357,7.492303848266602e-05,0.8234999775886536,0.0,0.6827013492584229,0.9997000098228455,0,300
4,400,0.015824873000383377,0.06581097841262817,0.06462865322828293,0.7142301201820374,3.0875205993652344e-05,0.8391666412353516,0.0,0.5740105509757996,0.9998166561126709,0.691047728061676,3.212690353393555e-05,0.843999981880188,9.995698928833008e-05,0.5567504167556763,0.9998999834060669,0,400
5,500,0.016114378347992897,0.08530927449464798,0.08342327922582626,0.6333072781562805,1.0788440704345703e-05,0.848800003528595,-6.663799285888672e-05,0.48667147755622864,0.999750018119812,0.6107430458068848,1.8835067749023438e-05,0.8565000295639038,0.000500023365020752,0.4705677330493927,0.9993000030517578,0,500
6,600,0.016344454139471054,0.10080496221780777,0.09821843355894089,0.5792807936668396,-7.927417755126953e-06,0.8577333092689514,0.0,0.4315769076347351,0.9997166395187378,0.5573999285697937,-4.291534423828125e-06,0.8636000156402588,0.00020003318786621094,0.41701680421829224,0.9994999766349792,0,600
7,700,0.0166692566126585,0.12268052995204926,0.1191437765955925,0.5393655300140381,-9.238719940185547e-06,0.8648166656494141,5.0008296966552734e-05,0.39051997661590576,0.9997833371162415,0.5178631544113159,-5.781650543212891e-06,0.8729000091552734,-0.00010001659393310547,0.3759889006614685,0.9998999834060669,0,700
8,800,0.016852404922246933,0.13501563668251038,0.13073331117630005,0.5078535079956055,-5.841255187988281e-06,0.8707500100135803,0.00011670589447021484,0.35874390602111816,0.9997333288192749,0.48750707507133484,-2.8014183044433594e-06,0.8784000277519226,0.0,0.34540194272994995,1.0,0,800
9,900,0.017135413363575935,0.15407635271549225,0.14879386126995087,0.48317453265190125,-4.947185516357422e-06,0.8745499849319458,1.6629695892333984e-05,0.33222904801368713,0.9998166561126709,0.4627792537212372,-1.7881393432617188e-06,0.8823000192642212,0.0,0.31940892338752747,1.0,0,900
10,1000,0.017131904140114784,0.15384000539779663,0.14821167290210724,0.4649498462677002,-8.493661880493164e-06,0.8775333166122437,5.0008296966552734e-05,0.31308645009994507,0.9998499751091003,0.44465604424476624,-2.980232238769531e-07,0.885699987411499,0.00010001659393310547,0.3011218309402466,0.9998999834060669,1,62
11,1100,0.01726444996893406,0.16276702284812927,0.15645752847194672,0.4492490887641907,-6.765127182006836e-06,0.8809833526611328,3.337860107421875e-05,0.2951171100139618,0.9997833371162415,0.4285985827445984,-2.0563602447509766e-06,0.888700008392334,0.00010001659393310547,0.28289034962654114,0.9998999834060669,1,162
