,step,d_w,d_w_rel_to_init,d_w_rel_to_norm,L_train,del_L_train,acc_train,del_acc_train,L_train_compare,acc_train_compare,L_test,del_L_test,acc_test,del_acc_test,L_test_compare,acc_test_compare,epoch,batch_idx
0,0,0.14848947525024414,8.20943751023151e-05,8.20943751023151e-05,2.460120916366577,-0.0005099773406982422,0.09759999811649323,0.0,1.638741374015808,0.9926333427429199,2.465120792388916,-0.0005362033843994141,0.08829999715089798,-0.00010000169277191162,1.6344631910324097,0.9943000078201294,0,0
1,100,0.14855033159255981,0.000491964106913656,0.0004908503033220768,1.5336157083511353,-0.0003865957260131836,0.6465833187103271,0.0001499652862548828,1.3655593395233154,0.9986500144004822,1.5196219682693481,-0.00039780139923095703,0.6541000008583069,-0.000500023365020752,1.3514844179153442,0.9983999729156494,0,100
2,200,0.14877386391162872,0.001997462473809719,0.0019818630535155535,1.0719197988510132,-0.00012254714965820312,0.7746999859809875,-8.33272933959961e-05,0.933720588684082,0.9987499713897705,1.0499767065048218,-0.00014913082122802734,0.7829999923706055,0.0,0.9154202342033386,0.9987000226974487,0,200
3,300,0.14940084517002106,0.0062202042900025845,0.006137498654425144,0.8402957916259766,0.00013267993927001953,0.8185666799545288,-9.995698928833008e-05,0.7016046643257141,0.9984999895095825,0.8173162341117859,0.0001239776611328125,0.8241000175476074,0.0006000399589538574,0.6827043890953064,0.9987000226974487,0,300
4,400,0.15026968717575073,0.012071887031197548,0.011855010874569416,0.714397132396698,0.00019788742065429688,0.8390833139419556,-8.33272933959961e-05,0.5741672515869141,0.9987999796867371,0.6912298202514648,0.0002142190933227539,0.8442000150680542,0.000299990177154541,0.556919515132904,0.9987000226974487,0,400
5,500,0.15100708603858948,0.017038295045495033,0.016661619767546654,0.6334778070449829,0.00018131732940673828,0.8488500118255615,-1.6629695892333984e-05,0.4868360161781311,0.9990833401679993,0.6109262108802795,0.00020200014114379883,0.8562999963760376,0.000299990177154541,0.4707587957382202,0.9988999962806702,0,500
6,600,0.15165670216083527,0.02141348458826542,0.02086404152214527,0.5794479250907898,0.00015920400619506836,0.857783317565918,5.0008296966552734e-05,0.4317789077758789,0.9992333054542542,0.5575760006904602,0.00017178058624267578,0.8636000156402588,0.00020003318786621094,0.4172212779521942,0.9993000030517578,0,600
7,700,0.15221229195594788,0.025155402719974518,0.024430198594927788,0.5395150780677795,0.00014030933380126953,0.8648333549499512,6.669759750366211e-05,0.3906847834587097,0.9995166659355164,0.5180243253707886,0.00015538930892944336,0.8726999759674072,-0.0003000497817993164,0.3761686384677887,0.9994999766349792,0,700
8,800,0.15281571447849274,0.029219474643468857,0.028292713686823845,0.507976770401001,0.00011742115020751953,0.8705666661262512,-6.663799285888672e-05,0.35887178778648376,0.9994833469390869,0.4876425862312317,0.00013270974159240723,0.8784999847412109,9.995698928833008e-05,0.3455369770526886,0.9998999834060669,0,800
9,900,0.15333864092826843,0.03274140506982803,0.0316188707947731,0.48327818512916565,9.870529174804688e-05,0.8744666576385498,-6.669759750366211e-05,0.33233851194381714,0.9994333386421204,0.46290087699890137,0.00011983513832092285,0.882099986076355,-0.00020003318786621094,0.31952381134033203,0.9994999766349792,0,900
